# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -17.92690     -17.92690
       0.00919     -17.92729     -17.92730
       0.01837     -17.92849     -17.92849
       0.02756     -17.93047     -17.93047
       0.03674     -17.93324     -17.93324
       0.04593     -17.93679     -17.93679
       0.05511     -17.94110     -17.94110
       0.06430     -17.94616     -17.94616
       0.07348     -17.95194     -17.95194
       0.08267     -17.95844     -17.95844
       0.09185     -17.96564     -17.96564
       0.10104     -17.97350     -17.97350
       0.11022     -17.98202     -17.98202
       0.11941     -17.99115     -17.99115
       0.12859     -18.00088     -18.00088
       0.13778     -18.01117     -18.01117
       0.14696     -18.02201     -18.02201
       0.15615     -18.03336     -18.03336
       0.16533     -18.04519     -18.04519
       0.17452     -18.05747     -18.05747
       0.18370     -18.07018     -18.07018
       0.19289     -18.08329     -18.08329
       0.20207     -18.09676     -18.09676
       0.21126     -18.11058     -18.11058
       0.22044     -18.12470     -18.12470
       0.22963     -18.13912     -18.13912
       0.23881     -18.15378     -18.15378
       0.24800     -18.16868     -18.16868
       0.25718     -18.18379     -18.18379
       0.26637     -18.19908     -18.19909
       0.27555     -18.21454     -18.21454
       0.28474     -18.23012     -18.23012
       0.29392     -18.24582     -18.24582
       0.30311     -18.26161     -18.26161
       0.31229     -18.27747     -18.27747
       0.32148     -18.29338     -18.29338
       0.33066     -18.30932     -18.30932
       0.33985     -18.32527     -18.32527
       0.34903     -18.34122     -18.34122
       0.35822     -18.35714     -18.35714
       0.36740     -18.37303     -18.37303
       0.37659     -18.38887     -18.38887
       0.38577     -18.40463     -18.40463
       0.39496     -18.42032     -18.42032
       0.40414     -18.43590     -18.43590
       0.41333     -18.45138     -18.45138
       0.42251     -18.46673     -18.46673
       0.43170     -18.48195     -18.48195
       0.44088     -18.49702     -18.49702
       0.45007     -18.51194     -18.51194
       0.45925     -18.52669     -18.52669
       0.46844     -18.54126     -18.54126
       0.47762     -18.55565     -18.55565
       0.48681     -18.56984     -18.56984
       0.49599     -18.58382     -18.58383
       0.50518     -18.59760     -18.59760
       0.51436     -18.61116     -18.61116
       0.52355     -18.62448     -18.62448
       0.53273     -18.63758     -18.63758
       0.54192     -18.65043     -18.65043
       0.55110     -18.66303     -18.66303
       0.56029     -18.67538     -18.67538
       0.56947     -18.68748     -18.68748
       0.57866     -18.69930     -18.69930
       0.58784     -18.71086     -18.71086
       0.59703     -18.72213     -18.72213
       0.60621     -18.73313     -18.73313
       0.61540     -18.74384     -18.74384
       0.62458     -18.75426     -18.75426
       0.63377     -18.76439     -18.76439
       0.64295     -18.77422     -18.77422
       0.65214     -18.78375     -18.78375
       0.66132     -18.79297     -18.79297
       0.67051     -18.80188     -18.80189
       0.67969     -18.81049     -18.81049
       0.68888     -18.81877     -18.81877
       0.69806     -18.82674     -18.82674
       0.70725     -18.83439     -18.83439
       0.71643     -18.84172     -18.84172
       0.72562     -18.84872     -18.84872
       0.73480     -18.85540     -18.85540
       0.74399     -18.86174     -18.86174
       0.75317     -18.86775     -18.86775
       0.76236     -18.87343     -18.87343
       0.77154     -18.87877     -18.87877
       0.78073     -18.88377     -18.88377
       0.78991     -18.88844     -18.88844
       0.79910     -18.89277     -18.89277
       0.80828     -18.89675     -18.89675
       0.81747     -18.90039     -18.90040
       0.82665     -18.90369     -18.90369
       0.83584     -18.90664     -18.90665
       0.84502     -18.90925     -18.90925
       0.85421     -18.91151     -18.91151
       0.86339     -18.91343     -18.91343
       0.87258     -18.91500     -18.91500
       0.88176     -18.91621     -18.91621
       0.89095     -18.91709     -18.91709
       0.90013     -18.91761     -18.91761
       0.90932     -18.91778     -18.91778
       0.90932     -18.91778     -18.91778
       0.92230     -18.91743     -18.91743
       0.93529     -18.91639     -18.91639
       0.94828     -18.91465     -18.91465
       0.96127     -18.91221     -18.91221
       0.97426     -18.90907     -18.90907
       0.98725     -18.90524     -18.90525
       1.00024     -18.90072     -18.90072
       1.01323     -18.89550     -18.89551
       1.02622     -18.88960     -18.88960
       1.03921     -18.88300     -18.88300
       1.05220     -18.87572     -18.87572
       1.06519     -18.86775     -18.86775
       1.07818     -18.85910     -18.85910
       1.09117     -18.84976     -18.84976
       1.10416     -18.83976     -18.83976
       1.11715     -18.82907     -18.82907
       1.13014     -18.81772     -18.81772
       1.14313     -18.80570     -18.80570
       1.15612     -18.79301     -18.79301
       1.16911     -18.77966     -18.77966
       1.18210     -18.76566     -18.76566
       1.19509     -18.75101     -18.75101
       1.20807     -18.73570     -18.73570
       1.22106     -18.71976     -18.71976
       1.23405     -18.70318     -18.70318
       1.24704     -18.68597     -18.68597
       1.26003     -18.66814     -18.66814
       1.27302     -18.64968     -18.64968
       1.28601     -18.63062     -18.63062
       1.29900     -18.61094     -18.61095
       1.31199     -18.59067     -18.59067
       1.32498     -18.56981     -18.56981
       1.33797     -18.54837     -18.54837
       1.35096     -18.52634     -18.52634
       1.36395     -18.50375     -18.50375
       1.37694     -18.48061     -18.48061
       1.38993     -18.45692     -18.45692
       1.40292     -18.43269     -18.43269
       1.41591     -18.40793     -18.40793
       1.42890     -18.38266     -18.38266
       1.44189     -18.35688     -18.35688
       1.45488     -18.33060     -18.33061
       1.46787     -18.30385     -18.30385
       1.48086     -18.27662     -18.27663
       1.49384     -18.24895     -18.24895
       1.50683     -18.22083     -18.22083
       1.51982     -18.19228     -18.19228
       1.53281     -18.16332     -18.16332
       1.54580     -18.13397     -18.13397
       1.55879     -18.10423     -18.10423
       1.57178     -18.07414     -18.07414
       1.58477     -18.04371     -18.04371
       1.59776     -18.01295     -18.01295
       1.61075     -17.98189     -17.98189
       1.62374     -17.95056     -17.95056
       1.63673     -17.91896     -17.91896
       1.64972     -17.88713     -17.88713
       1.66271     -17.85509     -17.85509
       1.67570     -17.82285     -17.82285
       1.68869     -17.79047     -17.79047
       1.70168     -17.75795     -17.75795
       1.71467     -17.72532     -17.72532
       1.72766     -17.69263     -17.69263
       1.74065     -17.65989     -17.65989
       1.75364     -17.62716     -17.62716
       1.76663     -17.59446     -17.59446
       1.77962     -17.56183     -17.56183
       1.79260     -17.52929     -17.52929
       1.80559     -17.49690     -17.49690
       1.81858     -17.46471     -17.46471
       1.83157     -17.43275     -17.43275
       1.84456     -17.40107     -17.40107
       1.85755     -17.36973     -17.36973
       1.87054     -17.33876     -17.33876
       1.88353     -17.30823     -17.30823
       1.89652     -17.27820     -17.27820
       1.90951     -17.24872     -17.24872
       1.92250     -17.21984     -17.21984
       1.93549     -17.19163     -17.19163
       1.94848     -17.16417     -17.16417
       1.96147     -17.13752     -17.13752
       1.97446     -17.11174     -17.11174
       1.98745     -17.08690     -17.08690
       2.00044     -17.06306     -17.06306
       2.01343     -17.04033     -17.04033
       2.02642     -17.01873     -17.01873
       2.03941     -16.99838     -16.99838
       2.05240     -16.97932     -16.97932
       2.06539     -16.96164     -16.96164
       2.07837     -16.94538     -16.94538
       2.09136     -16.93066     -16.93066
       2.10435     -16.91751     -16.91751
       2.11734     -16.90598     -16.90598
       2.13033     -16.89613     -16.89613
       2.14332     -16.88801     -16.88801
       2.15631     -16.88165     -16.88165
       2.16930     -16.87709     -16.87709
       2.18229     -16.87434     -16.87434
       2.19528     -16.87342     -16.87342
       2.19528     -16.87342     -16.87342
       2.20447     -16.87388     -16.87388
       2.21365     -16.87525     -16.87525
       2.22284     -16.87754     -16.87754
       2.23202     -16.88072     -16.88072
       2.24121     -16.88479     -16.88479
       2.25039     -16.88973     -16.88973
       2.25958     -16.89552     -16.89553
       2.26876     -16.90214     -16.90215
       2.27795     -16.90957     -16.90957
       2.28713     -16.91777     -16.91777
       2.29632     -16.92672     -16.92672
       2.30550     -16.93637     -16.93637
       2.31469     -16.94671     -16.94671
       2.32387     -16.95771     -16.95771
       2.33306     -16.96930     -16.96930
       2.34224     -16.98148     -16.98148
       2.35143     -16.99419     -16.99419
       2.36061     -17.00741     -17.00741
       2.36980     -17.02111     -17.02111
       2.37898     -17.03523     -17.03524
       2.38817     -17.04976     -17.04976
       2.39735     -17.06465     -17.06465
       2.40654     -17.07988     -17.07988
       2.41572     -17.09541     -17.09541
       2.42491     -17.11121     -17.11121
       2.43409     -17.12726     -17.12726
       2.44328     -17.14351     -17.14351
       2.45246     -17.15995     -17.15995
       2.46165     -17.17654     -17.17654
       2.47083     -17.19327     -17.19327
       2.48002     -17.21009     -17.21010
       2.48920     -17.22702     -17.22702
       2.49839     -17.24400     -17.24400
       2.50757     -17.26101     -17.26101
       2.51676     -17.27805     -17.27805
       2.52594     -17.29508     -17.29508
       2.53513     -17.31207     -17.31207
       2.54431     -17.32904     -17.32904
       2.55350     -17.34596     -17.34596
       2.56268     -17.36280     -17.36280
       2.57187     -17.37956     -17.37956
       2.58105     -17.39622     -17.39622
       2.59024     -17.41276     -17.41276
       2.59942     -17.42918     -17.42918
       2.60861     -17.44545     -17.44545
       2.61779     -17.46157     -17.46157
       2.62698     -17.47753     -17.47753
       2.63616     -17.49331     -17.49331
       2.64535     -17.50890     -17.50891
       2.65453     -17.52430     -17.52430
       2.66372     -17.53950     -17.53950
       2.67290     -17.55448     -17.55448
       2.68209     -17.56925     -17.56925
       2.69127     -17.58378     -17.58378
       2.70046     -17.59808     -17.59808
       2.70964     -17.61214     -17.61214
       2.71883     -17.62595     -17.62595
       2.72801     -17.63950     -17.63950
       2.73720     -17.65279     -17.65279
       2.74638     -17.66581     -17.66581
       2.75557     -17.67857     -17.67857
       2.76475     -17.69104     -17.69104
       2.77394     -17.70323     -17.70323
       2.78312     -17.71513     -17.71513
       2.79231     -17.72673     -17.72673
       2.80149     -17.73804     -17.73804
       2.81068     -17.74905     -17.74905
       2.81986     -17.75976     -17.75976
       2.82905     -17.77015     -17.77015
       2.83823     -17.78023     -17.78023
       2.84742     -17.79000     -17.79000
       2.85660     -17.79945     -17.79946
       2.86579     -17.80858     -17.80859
       2.87497     -17.81739     -17.81739
       2.88416     -17.82587     -17.82587
       2.89334     -17.83402     -17.83402
       2.90253     -17.84184     -17.84184
       2.91171     -17.84933     -17.84933
       2.92090     -17.85648     -17.85648
       2.93008     -17.86330     -17.86330
       2.93927     -17.86977     -17.86977
       2.94845     -17.87591     -17.87591
       2.95764     -17.88170     -17.88170
       2.96682     -17.88716     -17.88716
       2.97601     -17.89225     -17.89225
       2.98519     -17.89701     -17.89701
       2.99438     -17.90142     -17.90142
       3.00356     -17.90548     -17.90548
       3.01275     -17.90919     -17.90919
       3.02193     -17.91255     -17.91255
       3.03112     -17.91556     -17.91556
       3.04030     -17.91821     -17.91821
       3.04949     -17.92052     -17.92052
       3.05867     -17.92246     -17.92246
       3.06786     -17.92406     -17.92406
       3.07704     -17.92530     -17.92530
       3.08623     -17.92619     -17.92619
       3.09541     -17.92672     -17.92672
       3.10460     -17.92690     -17.92690
# Band    2
       3.10460     -14.77793     -14.77793
       3.09541     -14.77780     -14.77780
       3.08623     -14.77744     -14.77744
       3.07704     -14.77683     -14.77683
       3.06786     -14.77597     -14.77598
       3.05867     -14.77488     -14.77488
       3.04949     -14.77354     -14.77354
       3.04030     -14.77196     -14.77196
       3.03112     -14.77014     -14.77014
       3.02193     -14.76809     -14.76809
       3.01275     -14.76579     -14.76579
       3.00356     -14.76325     -14.76325
       2.99438     -14.76048     -14.76048
       2.98519     -14.75749     -14.75749
       2.97601     -14.75424     -14.75424
       2.96682     -14.75079     -14.75079
       2.95764     -14.74709     -14.74709
       2.94845     -14.74318     -14.74318
       2.93927     -14.73904     -14.73904
       2.93008     -14.73467     -14.73467
       2.92090     -14.73009     -14.73009
       2.91171     -14.72530     -14.72530
       2.90253     -14.72028     -14.72028
       2.89334     -14.71506     -14.71506
       2.88416     -14.70965     -14.70965
       2.87497     -14.70403     -14.70403
       2.86579     -14.69821     -14.69821
       2.85660     -14.69219     -14.69220
       2.84742     -14.68599     -14.68599
       2.83823     -14.67960     -14.67960
       2.82905     -14.67303     -14.67303
       2.81986     -14.66628     -14.66628
       2.81068     -14.65936     -14.65936
       2.80149     -14.65230     -14.65230
       2.79231     -14.64506     -14.64506
       2.78312     -14.63765     -14.63765
       2.77394     -14.63008     -14.63009
       2.76475     -14.62238     -14.62238
       2.75557     -14.61454     -14.61454
       2.74638     -14.60657     -14.60657
       2.73720     -14.59847     -14.59847
       2.72801     -14.59025     -14.59025
       2.71883     -14.58192     -14.58192
       2.70964     -14.57345     -14.57345
       2.70046     -14.56493     -14.56493
       2.69127     -14.55630     -14.55630
       2.68209     -14.54757     -14.54757
       2.67290     -14.53877     -14.53878
       2.66372     -14.52990     -14.52990
       2.65453     -14.52097     -14.52097
       2.64535     -14.51198     -14.51198
       2.63616     -14.50295     -14.50295
       2.62698     -14.49388     -14.49388
       2.61779     -14.48477     -14.48477
       2.60861     -14.47565     -14.47565
       2.59942     -14.46652     -14.46652
       2.59024     -14.45739     -14.45739
       2.58105     -14.44828     -14.44828
       2.57187     -14.43915     -14.43915
       2.56268     -14.43008     -14.43008
       2.55350     -14.42104     -14.42104
       2.54431     -14.41205     -14.41205
       2.53513     -14.40311     -14.40311
       2.52594     -14.39424     -14.39424
       2.51676     -14.38545     -14.38545
       2.50757     -14.37675     -14.37675
       2.49839     -14.36814     -14.36814
       2.48920     -14.35965     -14.35965
       2.48002     -14.35128     -14.35128
       2.47083     -14.34303     -14.34303
       2.46165     -14.33493     -14.33493
       2.45246     -14.32698     -14.32699
       2.44328     -14.31919     -14.31919
       2.43409     -14.31158     -14.31158
       2.42491     -14.30413     -14.30413
       2.41572     -14.29688     -14.29688
       2.40654     -14.28985     -14.28985
       2.39735     -14.28303     -14.28303
       2.38817     -14.27644     -14.27644
       2.37898     -14.27008     -14.27008
       2.36980     -14.26395     -14.26395
       2.36061     -14.25810     -14.25810
       2.35143     -14.25249     -14.25249
       2.34224     -14.24715     -14.24715
       2.33306     -14.24209     -14.24209
       2.32387     -14.23732     -14.23732
       2.31469     -14.23283     -14.23284
       2.30550     -14.22866     -14.22866
       2.29632     -14.22479     -14.22479
       2.28713     -14.22124     -14.22124
       2.27795     -14.21800     -14.21800
       2.26876     -14.21509     -14.21509
       2.25958     -14.21251     -14.21252
       2.25039     -14.21027     -14.21027
       2.24121     -14.20837     -14.20837
       2.23202     -14.20681     -14.20681
       2.22284     -14.20559     -14.20559
       2.21365     -14.20472     -14.20472
       2.20447     -14.20421     -14.20421
       2.19528     -14.20404     -14.20404
       2.19528     -14.20404     -14.20404
       2.18229     -14.20362     -14.20362
       2.16930     -14.20239     -14.20239
       2.15631     -14.20034     -14.20034
       2.14332     -14.19747     -14.19747
       2.13033     -14.19378     -14.19378
       2.11734     -14.18928     -14.18928
       2.10435     -14.18396     -14.18396
       2.09136     -14.17781     -14.17781
       2.07837     -14.17086     -14.17086
       2.06539     -14.16309     -14.16309
       2.05240     -14.15451     -14.15451
       2.03941     -14.14511     -14.14511
       2.02642     -14.13489     -14.13489
       2.01343     -14.12387     -14.12387
       2.00044     -14.11202     -14.11202
       1.98745     -14.09937     -14.09937
       1.97446     -14.08591     -14.08591
       1.96147     -14.07163     -14.07163
       1.94848     -14.05655     -14.05655
       1.93549     -14.04069     -14.04069
       1.92250     -14.02403     -14.02404
       1.90951     -14.00656     -14.00656
       1.89652     -13.98827     -13.98827
       1.88353     -13.96918     -13.96918
       1.87054     -13.94929     -13.94930
       1.85755     -13.92863     -13.92863
       1.84456     -13.90716     -13.90716
       1.83157     -13.88491     -13.88491
       1.81858     -13.86187     -13.86187
       1.80559     -13.83805     -13.83805
       1.79260     -13.81341     -13.81341
       1.77962     -13.78802     -13.78802
       1.76663     -13.76186     -13.76186
       1.75364     -13.73492     -13.73492
       1.74065     -13.70720     -13.70720
       1.72766     -13.67874     -13.67874
       1.71467     -13.64951     -13.64951
       1.70168     -13.61952     -13.61952
       1.68869     -13.58879     -13.58879
       1.67570     -13.55730     -13.55730
       1.66271     -13.52508     -13.52508
       1.64972     -13.49211     -13.49211
       1.63673     -13.45845     -13.45845
       1.62374     -13.42402     -13.42402
       1.61075     -13.38886     -13.38886
       1.59776     -13.35300     -13.35300
       1.58477     -13.31644     -13.31644
       1.57178     -13.27917     -13.27917
       1.55879     -13.24120     -13.24120
       1.54580     -13.20254     -13.20254
       1.53281     -13.16320     -13.16320
       1.51982     -13.12320     -13.12320
       1.50683     -13.08253     -13.08253
       1.49384     -13.04120     -13.04120
       1.48086     -12.99924     -12.99924
       1.46787     -12.95666     -12.95666
       1.45488     -12.91345     -12.91346
       1.44189     -12.86965     -12.86965
       1.42890     -12.82525     -12.82525
       1.41591     -12.78028     -12.78028
       1.40292     -12.73477     -12.73477
       1.38993     -12.68871     -12.68871
       1.37694     -12.64212     -12.64212
       1.36395     -12.59503     -12.59503
       1.35096     -12.54747     -12.54747
       1.33797     -12.49945     -12.49945
       1.32498     -12.45101     -12.45101
       1.31199     -12.40219     -12.40219
       1.29900     -12.35305     -12.35305
       1.28601     -12.30354     -12.30354
       1.27302     -12.25373     -12.25374
       1.26003     -12.20367     -12.20367
       1.24704     -12.15341     -12.15341
       1.23405     -12.10300     -12.10300
       1.22106     -12.05250     -12.05250
       1.20807     -12.00198     -12.00198
       1.19509     -11.95151     -11.95151
       1.18210     -11.90118     -11.90118
       1.16911     -11.85106     -11.85107
       1.15612     -11.80125     -11.80125
       1.14313     -11.75189     -11.75189
       1.13014     -11.70309     -11.70309
       1.11715     -11.65500     -11.65500
       1.10416     -11.60778     -11.60778
       1.09117     -11.56163     -11.56163
       1.07818     -11.51673     -11.51673
       1.06519     -11.47329     -11.47329
       1.05220     -11.43156     -11.43156
       1.03921     -11.39184     -11.39184
       1.02622     -11.35441     -11.35442
       1.01323     -11.31962     -11.31962
       1.00024     -11.28775     -11.28776
       0.98725     -11.25919     -11.25919
       0.97426     -11.23426     -11.23426
       0.96127     -11.21327     -11.21327
       0.94828     -11.19662     -11.19662
       0.93529     -11.18463     -11.18463
       0.92230     -11.17729     -11.17729
       0.90932     -11.17489     -11.17489
       0.90932     -11.17489     -11.17489
       0.90013     -11.17612     -11.17612
       0.89095     -11.17978     -11.17978
       0.88176     -11.18596     -11.18596
       0.87258     -11.19472     -11.19472
       0.86339     -11.20623     -11.20623
       0.85421     -11.22040     -11.22040
       0.84502     -11.23745     -11.23745
       0.83584     -11.25738     -11.25738
       0.82665     -11.28024     -11.28024
       0.81747     -11.30603     -11.30603
       0.80828     -11.33470     -11.33470
       0.79910     -11.36618     -11.36619
       0.78991     -11.40036     -11.40036
       0.78073     -11.43706     -11.43706
       0.77154     -11.47614     -11.47614
       0.76236     -11.51735     -11.51735
       0.75317     -11.56053     -11.56053
       0.74399     -11.60545     -11.60545
       0.73480     -11.65194     -11.65194
       0.72562     -11.69980     -11.69980
       0.71643     -11.74886     -11.74886
       0.70725     -11.79898     -11.79898
       0.69806     -11.84999     -11.84999
       0.68888     -11.90179     -11.90179
       0.67969     -11.95425     -11.95425
       0.67051     -12.00727     -12.00727
       0.66132     -12.06075     -12.06075
       0.65214     -12.11462     -12.11462
       0.64295     -12.16878     -12.16878
       0.63377     -12.22319     -12.22319
       0.62458     -12.27773     -12.27773
       0.61540     -12.33240     -12.33240
       0.60621     -12.38714     -12.38714
       0.59703     -12.44189     -12.44189
       0.58784     -12.49660     -12.49660
       0.57866     -12.55131     -12.55131
       0.56947     -12.60585     -12.60585
       0.56029     -12.66023     -12.66023
       0.55110     -12.71448     -12.71448
       0.54192     -12.76856     -12.76856
       0.53273     -12.82237     -12.82237
       0.52355     -12.87594     -12.87594
       0.51436     -12.92922     -12.92922
       0.50518     -12.98220     -12.98220
       0.49599     -13.03486     -13.03486
       0.48681     -13.08709     -13.08709
       0.47762     -13.13903     -13.13903
       0.46844     -13.19057     -13.19057
       0.45925     -13.24169     -13.24169
       0.45007     -13.29241     -13.29242
       0.44088     -13.34267     -13.34267
       0.43170     -13.39246     -13.39246
       0.42251     -13.44175     -13.44175
       0.41333     -13.49052     -13.49052
       0.40414     -13.53877     -13.53877
       0.39496     -13.58647     -13.58647
       0.38577     -13.63361     -13.63361
       0.37659     -13.68015     -13.68015
       0.36740     -13.72611     -13.72611
       0.35822     -13.77141     -13.77141
       0.34903     -13.81606     -13.81606
       0.33985     -13.86004     -13.86004
       0.33066     -13.90332     -13.90332
       0.32148     -13.94587     -13.94587
       0.31229     -13.98769     -13.98769
       0.30311     -14.02876     -14.02876
       0.29392     -14.06904     -14.06904
       0.28474     -14.10850     -14.10850
       0.27555     -14.14712     -14.14712
       0.26637     -14.18488     -14.18488
       0.25718     -14.22175     -14.22175
       0.24800     -14.25771     -14.25771
       0.23881     -14.29269     -14.29269
       0.22963     -14.32674     -14.32674
       0.22044     -14.35978     -14.35978
       0.21126     -14.39180     -14.39180
       0.20207     -14.42275     -14.42275
       0.19289     -14.45262     -14.45262
       0.18370     -14.48137     -14.48137
       0.17452     -14.50899     -14.50899
       0.16533     -14.53543     -14.53543
       0.15615     -14.56065     -14.56065
       0.14696     -14.58462     -14.58462
       0.13778     -14.60734     -14.60734
       0.12859     -14.62871     -14.62871
       0.11941     -14.64878     -14.64878
       0.11022     -14.66750     -14.66750
       0.10104     -14.68483     -14.68483
       0.09185     -14.70076     -14.70076
       0.08267     -14.71523     -14.71523
       0.07348     -14.72827     -14.72827
       0.06430     -14.73982     -14.73982
       0.05511     -14.74987     -14.74987
       0.04593     -14.75841     -14.75841
       0.03674     -14.76542     -14.76542
       0.02756     -14.77089     -14.77089
       0.01837     -14.77479     -14.77480
       0.00919     -14.77714     -14.77714
       0.00000     -14.77793     -14.77793
# Band    3
       0.00000     -10.68741     -10.68741
       0.00919     -10.68744     -10.68744
       0.01837     -10.68752     -10.68752
       0.02756     -10.68765     -10.68765
       0.03674     -10.68783     -10.68783
       0.04593     -10.68808     -10.68808
       0.05511     -10.68836     -10.68836
       0.06430     -10.68869     -10.68869
       0.07348     -10.68909     -10.68909
       0.08267     -10.68954     -10.68954
       0.09185     -10.69006     -10.69006
       0.10104     -10.69061     -10.69061
       0.11022     -10.69121     -10.69121
       0.11941     -10.69187     -10.69187
       0.12859     -10.69275     -10.69275
       0.13778     -10.69346     -10.69346
       0.14696     -10.69412     -10.69412
       0.15615     -10.69506     -10.69506
       0.16533     -10.69594     -10.69594
