# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -18.13314     -18.13314
       0.00928     -18.13353     -18.13353
       0.01855     -18.13474     -18.13474
       0.02783     -18.13674     -18.13674
       0.03711     -18.13954     -18.13954
       0.04638     -18.14312     -18.14312
       0.05566     -18.14747     -18.14747
       0.06494     -18.15258     -18.15258
       0.07421     -18.15842     -18.15843
       0.08349     -18.16499     -18.16499
       0.09277     -18.17226     -18.17226
       0.10205     -18.18020     -18.18020
       0.11132     -18.18880     -18.18880
       0.12060     -18.19802     -18.19802
       0.12988     -18.20785     -18.20785
       0.13915     -18.21824     -18.21824
       0.14843     -18.22919     -18.22919
       0.15771     -18.24066     -18.24066
       0.16698     -18.25261     -18.25261
       0.17626     -18.26503     -18.26503
       0.18554     -18.27788     -18.27788
       0.19481     -18.29113     -18.29113
       0.20409     -18.30475     -18.30475
       0.21337     -18.31871     -18.31871
       0.22264     -18.33300     -18.33300
       0.23192     -18.34757     -18.34757
       0.24120     -18.36240     -18.36240
       0.25047     -18.37748     -18.37748
       0.25975     -18.39276     -18.39276
       0.26903     -18.40823     -18.40823
       0.27831     -18.42386     -18.42386
       0.28758     -18.43962     -18.43962
       0.29686     -18.45551     -18.45551
       0.30614     -18.47149     -18.47149
       0.31541     -18.48753     -18.48753
       0.32469     -18.50363     -18.50363
       0.33397     -18.51976     -18.51976
       0.34324     -18.53591     -18.53591
       0.35252     -18.55205     -18.55205
       0.36180     -18.56817     -18.56817
       0.37107     -18.58426     -18.58426
       0.38035     -18.60029     -18.60029
       0.38963     -18.61626     -18.61626
       0.39890     -18.63214     -18.63214
       0.40818     -18.64792     -18.64792
       0.41746     -18.66360     -18.66360
       0.42674     -18.67915     -18.67915
       0.43601     -18.69456     -18.69456
       0.44529     -18.70983     -18.70983
       0.45457     -18.72494     -18.72494
       0.46384     -18.73988     -18.73989
       0.47312     -18.75465     -18.75465
       0.48240     -18.76922     -18.76922
       0.49167     -18.78360     -18.78360
       0.50095     -18.79777     -18.79778
       0.51023     -18.81173     -18.81173
       0.51950     -18.82547     -18.82547
       0.52878     -18.83897     -18.83897
       0.53806     -18.85224     -18.85224
       0.54733     -18.86526     -18.86526
       0.55661     -18.87804     -18.87804
       0.56589     -18.89056     -18.89056
       0.57516     -18.90281     -18.90281
       0.58444     -18.91479     -18.91479
       0.59372     -18.92650     -18.92650
       0.60300     -18.93793     -18.93793
       0.61227     -18.94908     -18.94908
       0.62155     -18.95994     -18.95994
       0.63083     -18.97051     -18.97051
       0.64010     -18.98077     -18.98077
       0.64938     -18.99074     -18.99074
       0.65866     -19.00040     -19.00040
       0.66793     -19.00975     -19.00975
       0.67721     -19.01878     -19.01878
       0.68649     -19.02751     -19.02751
       0.69576     -19.03591     -19.03591
       0.70504     -19.04399     -19.04399
       0.71432     -19.05174     -19.05174
       0.72359     -19.05917     -19.05917
       0.73287     -19.06627     -19.06627
       0.74215     -19.07303     -19.07303
       0.75142     -19.07946     -19.07946
       0.76070     -19.08556     -19.08556
       0.76998     -19.09131     -19.09131
       0.77926     -19.09673     -19.09673
       0.78853     -19.10180     -19.10180
       0.79781     -19.10654     -19.10654
       0.80709     -19.11092     -19.11092
       0.81636     -19.11496     -19.11496
       0.82564     -19.11865     -19.11865
       0.83492     -19.12200     -19.12200
       0.84419     -19.12499     -19.12499
       0.85347     -19.12763     -19.12763
       0.86275     -19.12993     -19.12993
       0.87202     -19.13187     -19.13187
       0.88130     -19.13346     -19.13346
       0.89058     -19.13470     -19.13470
       0.89985     -19.13558     -19.13558
       0.90913     -19.13611     -19.13611
       0.91841     -19.13629     -19.13629
       0.91841     -19.13629     -19.13629
       0.93153     -19.13593     -19.13593
       0.94465     -19.13487     -19.13487
       0.95777     -19.13310     -19.13311
       0.97089     -19.13063     -19.13063
       0.98401     -19.12745     -19.12745
       0.99712     -19.12357     -19.12357
       1.01024     -19.11898     -19.11898
       1.02336     -19.11370     -19.11370
       1.03648     -19.10771     -19.10771
       1.04960     -19.10102     -19.10102
       1.06272     -19.09364     -19.09364
       1.07584     -19.08556     -19.08556
       1.08896     -19.07679     -19.07679
       1.10208     -19.06733     -19.06733
       1.11520     -19.05718     -19.05718
       1.12832     -19.04635     -19.04635
       1.14144     -19.03484     -19.03484
       1.15456     -19.02266     -19.02266
       1.16768     -19.00980     -19.00980
       1.18080     -18.99627     -18.99627
       1.19392     -18.98208     -18.98208
       1.20704     -18.96723     -18.96723
       1.22016     -18.95173     -18.95173
       1.23327     -18.93558     -18.93558
       1.24639     -18.91878     -18.91878
       1.25951     -18.90135     -18.90135
       1.27263     -18.88329     -18.88329
       1.28575     -18.86460     -18.86460
       1.29887     -18.84529     -18.84529
       1.31199     -18.82537     -18.82537
       1.32511     -18.80485     -18.80485
       1.33823     -18.78373     -18.78373
       1.35135     -18.76202     -18.76202
       1.36447     -18.73973     -18.73973
       1.37759     -18.71688     -18.71688
       1.39071     -18.69346     -18.69346
       1.40383     -18.66950     -18.66950
       1.41695     -18.64499     -18.64499
       1.43007     -18.61996     -18.61996
       1.44319     -18.59440     -18.59440
       1.45631     -18.56834     -18.56834
       1.46943     -18.54179     -18.54179
       1.48254     -18.51476     -18.51476
       1.49566     -18.48725     -18.48725
       1.50878     -18.45930     -18.45930
       1.52190     -18.43091     -18.43091
       1.53502     -18.40210     -18.40210
       1.54814     -18.37287     -18.37287
       1.56126     -18.34326     -18.34326
       1.57438     -18.31328     -18.31328
       1.58750     -18.28294     -18.28294
       1.60062     -18.25227     -18.25227
       1.61374     -18.22128     -18.22128
       1.62686     -18.19000     -18.19000
       1.63998     -18.15845     -18.15845
       1.65310     -18.12664     -18.12664
       1.66622     -18.09462     -18.09462
       1.67934     -18.06240     -18.06240
       1.69246     -18.03000     -18.03000
       1.70558     -17.99746     -17.99746
       1.71869     -17.96480     -17.96480
       1.73181     -17.93206     -17.93206
       1.74493     -17.89927     -17.89927
       1.75805     -17.86646     -17.86646
       1.77117     -17.83366     -17.83366
       1.78429     -17.80090     -17.80090
       1.79741     -17.76825     -17.76825
       1.81053     -17.73572     -17.73572
       1.82365     -17.70335     -17.70335
       1.83677     -17.67121     -17.67121
       1.84989     -17.63931     -17.63931
       1.86301     -17.60772     -17.60772
       1.87613     -17.57649     -17.57649
       1.88925     -17.54566     -17.54566
       1.90237     -17.51530     -17.51530
       1.91549     -17.48545     -17.48545
       1.92861     -17.45617     -17.45617
       1.94173     -17.42750     -17.42750
       1.95484     -17.39955     -17.39955
       1.96796     -17.37236     -17.37236
       1.98108     -17.34599     -17.34599
       1.99420     -17.32050     -17.32050
       2.00732     -17.29598     -17.29598
       2.02044     -17.27250     -17.27250
       2.03356     -17.25010     -17.25010
       2.04668     -17.22885     -17.22886
       2.05980     -17.20885     -17.20885
       2.07292     -17.19014     -17.19014
       2.08604     -17.17280     -17.17280
       2.09916     -17.15689     -17.15689
       2.11228     -17.14248     -17.14248
       2.12540     -17.12961     -17.12961
       2.13852     -17.11835     -17.11835
       2.15164     -17.10873     -17.10873
       2.16476     -17.10080     -17.10080
       2.17788     -17.09459     -17.09459
       2.19099     -17.09013     -17.09013
       2.20411     -17.08744     -17.08745
       2.21723     -17.08655     -17.08655
       2.21723     -17.08655     -17.08655
       2.22651     -17.08700     -17.08700
       2.23579     -17.08834     -17.08834
       2.24506     -17.09057     -17.09057
       2.25434     -17.09368     -17.09368
       2.26362     -17.09765     -17.09765
       2.27289     -17.10247     -17.10247
       2.28217     -17.10813     -17.10813
       2.29145     -17.11460     -17.11460
       2.30073     -17.12186     -17.12186
       2.31000     -17.12987     -17.12987
       2.31928     -17.13861     -17.13861
       2.32856     -17.14807     -17.14807
       2.33783     -17.15820     -17.15820
       2.34711     -17.16895     -17.16895
       2.35639     -17.18032     -17.18032
       2.36566     -17.19227     -17.19227
       2.37494     -17.20475     -17.20475
       2.38422     -17.21774     -17.21774
       2.39349     -17.23120     -17.23120
       2.40277     -17.24510     -17.24510
       2.41205     -17.25940     -17.25940
       2.42132     -17.27407     -17.27407
       2.43060     -17.28908     -17.28909
       2.43988     -17.30441     -17.30441
       2.44915     -17.32001     -17.32001
       2.45843     -17.33585     -17.33585
       2.46771     -17.35192     -17.35192
       2.47699     -17.36817     -17.36817
       2.48626     -17.38459     -17.38459
       2.49554     -17.40115     -17.40115
       2.50482     -17.41781     -17.41781
       2.51409     -17.43457     -17.43457
       2.52337     -17.45140     -17.45140
       2.53265     -17.46828     -17.46828
       2.54192     -17.48518     -17.48518
       2.55120     -17.50209     -17.50209
       2.56048     -17.51898     -17.51898
       2.56975     -17.53584     -17.53584
       2.57903     -17.55266     -17.55266
       2.58831     -17.56940     -17.56940
       2.59758     -17.58608     -17.58608
       2.60686     -17.60265     -17.60265
       2.61614     -17.61912     -17.61912
       2.62541     -17.63546     -17.63546
       2.63469     -17.65167     -17.65167
       2.64397     -17.66773     -17.66773
       2.65325     -17.68363     -17.68363
       2.66252     -17.69937     -17.69937
       2.67180     -17.71492     -17.71492
       2.68108     -17.73028     -17.73028
       2.69035     -17.74546     -17.74546
       2.69963     -17.76041     -17.76041
       2.70891     -17.77515     -17.77515
       2.71818     -17.78966     -17.78966
       2.72746     -17.80395     -17.80395
       2.73674     -17.81799     -17.81799
       2.74601     -17.83179     -17.83179
       2.75529     -17.84533     -17.84533
       2.76457     -17.85862     -17.85862
       2.77384     -17.87164     -17.87164
       2.78312     -17.88439     -17.88439
       2.79240     -17.89686     -17.89686
       2.80168     -17.90906     -17.90906
       2.81095     -17.92097     -17.92097
       2.82023     -17.93259     -17.93259
       2.82951     -17.94390     -17.94391
       2.83878     -17.95492     -17.95492
       2.84806     -17.96564     -17.96564
       2.85734     -17.97605     -17.97605
       2.86661     -17.98614     -17.98614
       2.87589     -17.99593     -17.99593
       2.88517     -18.00540     -18.00540
       2.89444     -18.01453     -18.01454
       2.90372     -18.02336     -18.02336
       2.91300     -18.03185     -18.03185
       2.92227     -18.04002     -18.04002
       2.93155     -18.04786     -18.04786
       2.94083     -18.05536     -18.05536
       2.95010     -18.06253     -18.06253
       2.95938     -18.06936     -18.06936
       2.96866     -18.07586     -18.07586
       2.97794     -18.08200     -18.08201
       2.98721     -18.08781     -18.08781
       2.99649     -18.09327     -18.09327
       3.00577     -18.09839     -18.09839
       3.01504     -18.10316     -18.10316
       3.02432     -18.10758     -18.10758
       3.03360     -18.11165     -18.11165
       3.04287     -18.11537     -18.11537
       3.05215     -18.11874     -18.11874
       3.06143     -18.12176     -18.12176
       3.07070     -18.12442     -18.12442
       3.07998     -18.12673     -18.12673
       3.08926     -18.12868     -18.12868
       3.09853     -18.13028     -18.13028
       3.10781     -18.13154     -18.13154
       3.11709     -18.13243     -18.13243
       3.12636     -18.13296     -18.13296
       3.13564     -18.13314     -18.13314
# Band    2
       3.13564     -14.91844     -14.91844
       3.12636     -14.91831     -14.91831
       3.11709     -14.91793     -14.91793
       3.10781     -14.91730     -14.91730
       3.09853     -14.91638     -14.91638
       3.08926     -14.91523     -14.91523
       3.07998     -14.91383     -14.91383
       3.07070     -14.91216     -14.91217
       3.06143     -14.91025     -14.91025
       3.05215     -14.90808     -14.90809
       3.04287     -14.90567     -14.90567
       3.03360     -14.90300     -14.90300
       3.02432     -14.90009     -14.90009
       3.01504     -14.89693     -14.89693
       3.00577     -14.89350     -14.89350
       2.99649     -14.88985     -14.88985
       2.98721     -14.88596     -14.88596
       2.97794     -14.88184     -14.88184
       2.96866     -14.87748     -14.87748
