# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -18.56331     -18.56331
       0.00947     -18.56372     -18.56372
       0.01893     -18.56494     -18.56494
       0.02840     -18.56699     -18.56699
       0.03786     -18.56983     -18.56983
       0.04733     -18.57348     -18.57348
       0.05680     -18.57790     -18.57790
       0.06626     -18.58309     -18.58309
       0.07573     -18.58904     -18.58904
       0.08520     -18.59572     -18.59572
       0.09466     -18.60311     -18.60311
       0.10413     -18.61120     -18.61120
       0.11359     -18.61995     -18.61995
       0.12306     -18.62934     -18.62934
       0.13253     -18.63935     -18.63935
       0.14199     -18.64995     -18.64995
       0.15146     -18.66110     -18.66110
       0.16092     -18.67279     -18.67279
       0.17039     -18.68497     -18.68497
       0.17986     -18.69764     -18.69764
       0.18932     -18.71074     -18.71074
       0.19879     -18.72425     -18.72425
       0.20826     -18.73816     -18.73816
       0.21772     -18.75241     -18.75241
       0.22719     -18.76699     -18.76699
       0.23665     -18.78187     -18.78187
       0.24612     -18.79702     -18.79702
       0.25559     -18.81242     -18.81242
       0.26505     -18.82803     -18.82803
       0.27452     -18.84383     -18.84383
       0.28399     -18.85981     -18.85981
       0.29345     -18.87593     -18.87593
       0.30292     -18.89217     -18.89217
       0.31238     -18.90850     -18.90851
       0.32185     -18.92492     -18.92492
       0.33132     -18.94140     -18.94140
       0.34078     -18.95790     -18.95790
       0.35025     -18.97443     -18.97443
       0.35971     -18.99095     -18.99095
       0.36918     -19.00746     -19.00746
       0.37865     -19.02393     -19.02393
       0.38811     -19.04035     -19.04035
       0.39758     -19.05670     -19.05670
       0.40705     -19.07297     -19.07297
       0.41651     -19.08914     -19.08914
       0.42598     -19.10520     -19.10520
       0.43544     -19.12114     -19.12114
       0.44491     -19.13694     -19.13694
       0.45438     -19.15259     -19.15259
       0.46384     -19.16809     -19.16809
       0.47331     -19.18341     -19.18341
       0.48277     -19.19855     -19.19855
       0.49224     -19.21350     -19.21350
       0.50171     -19.22825     -19.22825
       0.51117     -19.24278     -19.24278
       0.52064     -19.25710     -19.25711
       0.53011     -19.27120     -19.27120
       0.53957     -19.28506     -19.28506
       0.54904     -19.29867     -19.29867
       0.55850     -19.31204     -19.31204
       0.56797     -19.32515     -19.32515
       0.57744     -19.33800     -19.33800
       0.58690     -19.35058     -19.35058
       0.59637     -19.36288     -19.36288
       0.60584     -19.37490     -19.37490
       0.61530     -19.38664     -19.38664
       0.62477     -19.39809     -19.39809
       0.63423     -19.40924     -19.40924
       0.64370     -19.42008     -19.42008
       0.65317     -19.43063     -19.43063
       0.66263     -19.44086     -19.44087
       0.67210     -19.45079     -19.45079
       0.68156     -19.46039     -19.46039
       0.69103     -19.46967     -19.46968
       0.70050     -19.47863     -19.47863
       0.70996     -19.48727     -19.48727
       0.71943     -19.49557     -19.49557
       0.72890     -19.50354     -19.50354
       0.73836     -19.51117     -19.51117
       0.74783     -19.51846     -19.51846
       0.75729     -19.52541     -19.52541
       0.76676     -19.53202     -19.53202
       0.77623     -19.53829     -19.53829
       0.78569     -19.54420     -19.54420
       0.79516     -19.54977     -19.54977
       0.80462     -19.55498     -19.55499
       0.81409     -19.55985     -19.55985
       0.82356     -19.56436     -19.56436
       0.83302     -19.56851     -19.56851
       0.84249     -19.57230     -19.57230
       0.85196     -19.57574     -19.57574
       0.86142     -19.57882     -19.57882
       0.87089     -19.58154     -19.58154
       0.88035     -19.58389     -19.58389
       0.88982     -19.58589     -19.58589
       0.89929     -19.58752     -19.58752
       0.90875     -19.58880     -19.58880
       0.91822     -19.58971     -19.58971
       0.92769     -19.59025     -19.59025
       0.93715     -19.59043     -19.59043
       0.93715     -19.59043     -19.59043
       0.95054     -19.59007     -19.59007
       0.96393     -19.58898     -19.58898
       0.97731     -19.58716     -19.58716
       0.99070     -19.58461     -19.58462
       1.00409     -19.58135     -19.58135
       1.01747     -19.57736     -19.57736
       1.03086     -19.57264     -19.57265
       1.04425     -19.56721     -19.56721
       1.05764     -19.56105     -19.56105
       1.07102     -19.55418     -19.55418
       1.08441     -19.54659     -19.54659
       1.09780     -19.53829     -19.53829
       1.11118     -19.52928     -19.52928
       1.12457     -19.51956     -19.51956
       1.13796     -19.50914     -19.50914
       1.15135     -19.49802     -19.49802
       1.16473     -19.48620     -19.48620
       1.17812     -19.47369     -19.47369
       1.19151     -19.46049     -19.46049
       1.20490     -19.44660     -19.44660
       1.21828     -19.43204     -19.43204
       1.23167     -19.41680     -19.41680
       1.24506     -19.40089     -19.40089
       1.25844     -19.38432     -19.38432
       1.27183     -19.36709     -19.36710
       1.28522     -19.34921     -19.34921
       1.29861     -19.33069     -19.33069
       1.31199     -19.31153     -19.31153
       1.32538     -19.29175     -19.29175
       1.33877     -19.27134     -19.27134
       1.35215     -19.25032     -19.25032
       1.36554     -19.22870     -19.22870
       1.37893     -19.20648     -19.20648
       1.39232     -19.18368     -19.18368
       1.40570     -19.16030     -19.16030
       1.41909     -19.13636     -19.13636
       1.43248     -19.11185     -19.11185
       1.44586     -19.08681     -19.08681
       1.45925     -19.06124     -19.06124
       1.47264     -19.03514     -19.03514
       1.48603     -19.00854     -19.00854
       1.49941     -18.98145     -18.98146
       1.51280     -18.95389     -18.95389
       1.52619     -18.92585     -18.92585
       1.53957     -18.89737     -18.89737
       1.55296     -18.86847     -18.86847
       1.56635     -18.83914     -18.83915
       1.57974     -18.80943     -18.80943
       1.59312     -18.77932     -18.77932
