# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -17.14591     -17.14591
       0.00884     -17.14629     -17.14629
       0.01767     -17.14744     -17.14744
       0.02651     -17.14933     -17.14933
       0.03534     -17.15199     -17.15199
       0.04418     -17.15538     -17.15538
       0.05301     -17.15951     -17.15951
       0.06185     -17.16435     -17.16435
       0.07068     -17.16989     -17.16989
       0.07952     -17.17611     -17.17611
       0.08835     -17.18300     -17.18300
       0.09719     -17.19052     -17.19052
       0.10602     -17.19866     -17.19866
       0.11486     -17.20740     -17.20740
       0.12369     -17.21669     -17.21669
       0.13253     -17.22654     -17.22654
       0.14136     -17.23689     -17.23689
       0.15020     -17.24773     -17.24773
       0.15903     -17.25903     -17.25903
       0.16787     -17.27075     -17.27075
       0.17670     -17.28288     -17.28288
       0.18554     -17.29538     -17.29538
       0.19437     -17.30823     -17.30823
       0.20321     -17.32140     -17.32140
       0.21204     -17.33486     -17.33486
       0.22088     -17.34859     -17.34859
       0.22971     -17.36257     -17.36257
       0.23855     -17.37676     -17.37676
       0.24738     -17.39114     -17.39114
       0.25622     -17.40569     -17.40569
       0.26505     -17.42038     -17.42038
       0.27389     -17.43520     -17.43520
       0.28272     -17.45013     -17.45013
       0.29156     -17.46514     -17.46514
       0.30039     -17.48021     -17.48021
       0.30923     -17.49533     -17.49533
       0.31806     -17.51047     -17.51047
       0.32690     -17.52562     -17.52562
       0.33573     -17.54076     -17.54076
       0.34457     -17.55588     -17.55588
       0.35340     -17.57096     -17.57096
       0.36224     -17.58599     -17.58599
       0.37107     -17.60094     -17.60094
       0.37991     -17.61581     -17.61581
       0.38874     -17.63059     -17.63059
       0.39758     -17.64526     -17.64526
       0.40641     -17.65982     -17.65982
       0.41525     -17.67424     -17.67424
       0.42408     -17.68852     -17.68852
       0.43292     -17.70265     -17.70265
       0.44175     -17.71662     -17.71662
       0.45059     -17.73042     -17.73042
       0.45942     -17.74405     -17.74405
       0.46826     -17.75748     -17.75748
       0.47710     -17.77072     -17.77072
       0.48593     -17.78376     -17.78376
       0.49477     -17.79659     -17.79659
       0.50360     -17.80921     -17.80921
       0.51244     -17.82159     -17.82159
       0.52127     -17.83375     -17.83375
       0.53011     -17.84567     -17.84567
       0.53894     -17.85736     -17.85736
       0.54778     -17.86879     -17.86879
       0.55661     -17.87997     -17.87997
       0.56545     -17.89090     -17.89090
       0.57428     -17.90156     -17.90156
       0.58312     -17.91196     -17.91196
       0.59195     -17.92208     -17.92208
       0.60079     -17.93193     -17.93193
       0.60962     -17.94151     -17.94151
       0.61846     -17.95079     -17.95079
       0.62729     -17.95980     -17.95980
       0.63613     -17.96851     -17.96851
       0.64496     -17.97694     -17.97694
       0.65380     -17.98506     -17.98506
       0.66263     -17.99290     -17.99290
       0.67147     -18.00043     -18.00043
       0.68030     -18.00765     -18.00765
       0.68914     -18.01457     -18.01457
       0.69797     -18.02119     -18.02119
       0.70681     -18.02749     -18.02749
       0.71564     -18.03348     -18.03348
       0.72448     -18.03916     -18.03916
       0.73331     -18.04452     -18.04452
       0.74215     -18.04957     -18.04957
       0.75098     -18.05429     -18.05429
       0.75982     -18.05870     -18.05870
       0.76865     -18.06278     -18.06278
       0.77749     -18.06654     -18.06654
       0.78632     -18.06998     -18.06998
       0.79516     -18.07310     -18.07310
       0.80399     -18.07588     -18.07588
       0.81283     -18.07835     -18.07835
       0.82166     -18.08048     -18.08048
       0.83050     -18.08229     -18.08229
       0.83933     -18.08377     -18.08377
       0.84817     -18.08492     -18.08492
       0.85700     -18.08575     -18.08575
       0.86584     -18.08624     -18.08624
       0.87467     -18.08640     -18.08640
       0.87467     -18.08640     -18.08640
       0.88717     -18.08607     -18.08607
       0.89966     -18.08509     -18.08509
       0.91216     -18.08344     -18.08344
       0.92465     -18.08114     -18.08114
       0.93715     -18.07818     -18.07818
       0.94964     -18.07456     -18.07456
       0.96214     -18.07029     -18.07029
       0.97463     -18.06536     -18.06536
       0.98713     -18.05978     -18.05978
       0.99962     -18.05355     -18.05355
       1.01212     -18.04667     -18.04667
       1.02461     -18.03914     -18.03914
       1.03711     -18.03097     -18.03097
       1.04960     -18.02215     -18.02215
       1.06210     -18.01269     -18.01269
       1.07459     -18.00259     -18.00259
       1.08708     -17.99185     -17.99185
       1.09958     -17.98048     -17.98048
       1.11207     -17.96848     -17.96848
       1.12457     -17.95585     -17.95585
       1.13706     -17.94259     -17.94259
       1.14956     -17.92872     -17.92872
       1.16205     -17.91423     -17.91423
       1.17455     -17.89913     -17.89913
       1.18704     -17.88342     -17.88342
       1.19954     -17.86711     -17.86711
       1.21203     -17.85019     -17.85019
       1.22453     -17.83269     -17.83269
       1.23702     -17.81460     -17.81460
       1.24952     -17.79592     -17.79592
       1.26201     -17.77667     -17.77667
       1.27451     -17.75685     -17.75685
       1.28700     -17.73646     -17.73646
       1.29949     -17.71552     -17.71552
       1.31199     -17.69404     -17.69404
       1.32448     -17.67200     -17.67200
       1.33698     -17.64943     -17.64943
       1.34947     -17.62634     -17.62634
       1.36197     -17.60272     -17.60272
       1.37446     -17.57860     -17.57860
       1.38696     -17.55399     -17.55399
       1.39945     -17.52888     -17.52888
       1.41195     -17.50329     -17.50329
       1.42444     -17.47723     -17.47723
       1.43694     -17.45072     -17.45072
       1.44943     -17.42376     -17.42376
       1.46193     -17.39637     -17.39637
       1.47442     -17.36855     -17.36855
       1.48692     -17.34033     -17.34033
       1.49941     -17.31171     -17.31171
       1.51190     -17.28272     -17.28272
       1.52440     -17.25337     -17.25337
       1.53689     -17.22366     -17.22366
       1.54939     -17.19363     -17.19363
       1.56188     -17.16328     -17.16328
       1.57438     -17.13263     -17.13263
       1.58687     -17.10172     -17.10172
       1.59937     -17.07056     -17.07056
       1.61186     -17.03918     -17.03918
       1.62436     -17.00757     -17.00757
       1.63685     -16.97579     -16.97579
       1.64935     -16.94384     -16.94384
       1.66184     -16.91177     -16.91177
       1.67434     -16.87960     -16.87960
       1.68683     -16.84734     -16.84734
       1.69933     -16.81506     -16.81506
       1.71182     -16.78276     -16.78276
       1.72431     -16.75050     -16.75050
       1.73681     -16.71830     -16.71830
       1.74930     -16.68620     -16.68620
       1.76180     -16.65425     -16.65425
       1.77429     -16.62249     -16.62249
       1.78679     -16.59097     -16.59097
       1.79928     -16.55974     -16.55974
       1.81178     -16.52885     -16.52885
       1.82427     -16.49836     -16.49836
       1.83677     -16.46833     -16.46833
       1.84926     -16.43882     -16.43882
       1.86176     -16.40988     -16.40988
       1.87425     -16.38160     -16.38160
       1.88675     -16.35405     -16.35405
       1.89924     -16.32729     -16.32729
       1.91174     -16.30140     -16.30140
       1.92423     -16.27647     -16.27647
       1.93673     -16.25259     -16.25259
       1.94922     -16.22982     -16.22982
       1.96171     -16.20828     -16.20828
       1.97421     -16.18803     -16.18803
       1.98670     -16.16917     -16.16917
       1.99920     -16.15179     -16.15179
       2.01169     -16.13597     -16.13597
       2.02419     -16.12179     -16.12179
       2.03668     -16.10934     -16.10934
       2.04918     -16.09866     -16.09866
       2.06167     -16.08983     -16.08983
       2.07417     -16.08292     -16.08292
       2.08666     -16.07793     -16.07793
       2.09916     -16.07496     -16.07496
       2.11165     -16.07396     -16.07396
       2.11165     -16.07396     -16.07396
       2.12049     -16.07446     -16.07446
       2.12932     -16.07595     -16.07595
       2.13816     -16.07843     -16.07843
       2.14699     -16.08191     -16.08191
       2.15583     -16.08635     -16.08635
       2.16466     -16.09173     -16.09173
       2.17350     -16.09802     -16.09802
       2.18233     -16.10520     -16.10520
       2.19117     -16.11323     -16.11323
       2.20000     -16.12209     -16.12209
       2.20884     -16.13173     -16.13173
       2.21767     -16.14211     -16.14211
       2.22651     -16.15320     -16.15320
       2.23534     -16.16496     -16.16496
       2.24418     -16.17734     -16.17734
       2.25301     -16.19031     -16.19031
       2.26185     -16.20382     -16.20382
       2.27068     -16.21784     -16.21784
       2.27952     -16.23232     -16.23232
       2.28835     -16.24722     -16.24722
       2.29719     -16.26251     -16.26251
       2.30602     -16.27815     -16.27815
       2.31486     -16.29409     -16.29409
       2.32369     -16.31031     -16.31031
       2.33253     -16.32678     -16.32678
       2.34136     -16.34347     -16.34347
       2.35020     -16.36033     -16.36033
       2.35903     -16.37734     -16.37734
       2.36787     -16.39449     -16.39449
       2.37670     -16.41172     -16.41172
       2.38554     -16.42904     -16.42904
       2.39437     -16.44640     -16.44640
       2.40321     -16.46380     -16.46380
       2.41204     -16.48121     -16.48121
       2.42088     -16.49860     -16.49860
       2.42971     -16.51596     -16.51596
       2.43855     -16.53328     -16.53328
       2.44738     -16.55052     -16.55052
       2.45622     -16.56767     -16.56767
       2.46505     -16.58474     -16.58474
       2.47389     -16.60169     -16.60169
       2.48273     -16.61852     -16.61852
