# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -17.72532     -17.72532
       0.00909     -17.72572     -17.72572
       0.01819     -17.72690     -17.72690
       0.02728     -17.72887     -17.72887
       0.03638     -17.73161     -17.73161
       0.04547     -17.73512     -17.73512
       0.05457     -17.73938     -17.73938
       0.06366     -17.74439     -17.74439
       0.07276     -17.75011     -17.75011
       0.08185     -17.75655     -17.75655
       0.09095     -17.76366     -17.76366
       0.10004     -17.77144     -17.77144
       0.10914     -17.77986     -17.77986
       0.11823     -17.78890     -17.78890
       0.12733     -17.79852     -17.79852
       0.13642     -17.80870     -17.80870
       0.14552     -17.81942     -17.81942
       0.15461     -17.83064     -17.83064
       0.16371     -17.84234     -17.84234
       0.17280     -17.85448     -17.85448
       0.18190     -17.86705     -17.86705
       0.19099     -17.88001     -17.88001
       0.20009     -17.89333     -17.89333
       0.20918     -17.90699     -17.90699
       0.21828     -17.92094     -17.92094
       0.22737     -17.93518     -17.93518
       0.23647     -17.94968     -17.94968
       0.24556     -17.96441     -17.96441
       0.25466     -17.97933     -17.97933
       0.26375     -17.99444     -17.99444
       0.27285     -18.00970     -18.00970
       0.28194     -18.02509     -18.02509
       0.29104     -18.04060     -18.04060
       0.30013     -18.05619     -18.05619
       0.30923     -18.07185     -18.07185
       0.31832     -18.08756     -18.08756
       0.32742     -18.10330     -18.10330
       0.33651     -18.11906     -18.11906
       0.34561     -18.13480     -18.13480
       0.35470     -18.15053     -18.15053
       0.36380     -18.16621     -18.16621
       0.37289     -18.18184     -18.18184
       0.38199     -18.19741     -18.19741
       0.39108     -18.21288     -18.21288
       0.40018     -18.22827     -18.22827
       0.40927     -18.24354     -18.24354
       0.41837     -18.25869     -18.25869
       0.42746     -18.27371     -18.27371
       0.43656     -18.28859     -18.28859
       0.44565     -18.30331     -18.30331
       0.45475     -18.31786     -18.31786
       0.46384     -18.33224     -18.33224
       0.47294     -18.34643     -18.34643
       0.48203     -18.36043     -18.36043
       0.49113     -18.37423     -18.37423
       0.50022     -18.38782     -18.38782
       0.50932     -18.40119     -18.40119
       0.51841     -18.41434     -18.41434
       0.52751     -18.42726     -18.42726
       0.53660     -18.43993     -18.43993
       0.54570     -18.45236     -18.45236
       0.55479     -18.46454     -18.46454
       0.56389     -18.47647     -18.47647
       0.57298     -18.48813     -18.48813
       0.58208     -18.49952     -18.49952
       0.59117     -18.51064     -18.51064
       0.60027     -18.52148     -18.52148
       0.60936     -18.53205     -18.53205
       0.61846     -18.54232     -18.54232
       0.62755     -18.55231     -18.55231
       0.63665     -18.56200     -18.56200
       0.64574     -18.57140     -18.57140
       0.65484     -18.58049     -18.58049
