0.80 2.87 3.11 0.09
0.81 2.95 3.17 0.08
0.82 3.02 3.20 0.07
0.83 3.08 3.23 0.06
0.84 -3.12 3.25 0.07
0.85 -3.15 3.27 0.07
0.86 -3.17 3.28 0.08
0.87 -3.18 3.29 0.10
0.88 3.18 3.30 0.13
0.89 3.15 3.30 0.17
0.90 3.11 3.29 0.22
0.91 3.07 3.27 0.27
0.92 -3.03 3.25 0.31
0.93 -2.99 3.23 0.35
0.94 -2.95 3.21 0.39
0.95 2.91 3.18 0.42
0.96 2.87 3.15 0.45
0.97 2.84 3.12 0.48
0.98 2.80 3.09 0.50
0.99 2.75 3.05 0.52
1.00 2.71 3.01 0.54
1.01 2.66 2.96 0.54
1.02 2.60 2.90 0.54
1.03 2.53 2.83 0.53
1.04 2.47 2.76 0.51
1.05 2.40 2.69 0.50
1.06 2.34 2.63 0.48
1.07 2.28 2.56 0.47
1.08 2.22 2.50 0.46
1.09 2.16 2.43 0.44
1.10 2.11 2.37 0.43
1.11 2.05 2.31 0.41
1.12 2.00 2.25 0.40
1.13 1.95 2.19 0.39
1.14 1.90 2.13 0.37
1.15 1.86 2.06 0.35
1.16 1.81 1.99 0.33
1.17 1.77 1.93 0.32
1.18 1.73 1.86 0.30
1.19 -1.70 1.78 0.27
1.20 -1.68 1.66 0.23
