# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -17.52681     -17.52681
       0.00901     -17.52720     -17.52720
       0.01801     -17.52837     -17.52837
       0.02702     -17.53031     -17.53031
       0.03603     -17.53303     -17.53303
       0.04503     -17.53651     -17.53651
       0.05404     -17.54073     -17.54073
       0.06305     -17.54568     -17.54568
       0.07205     -17.55135     -17.55135
       0.08106     -17.55772     -17.55772
       0.09007     -17.56476     -17.56476
       0.09907     -17.57247     -17.57247
       0.10808     -17.58080     -17.58080
       0.11709     -17.58974     -17.58974
       0.12609     -17.59926     -17.59926
       0.13510     -17.60933     -17.60933
       0.14411     -17.61993     -17.61993
       0.15311     -17.63104     -17.63104
       0.16212     -17.64261     -17.64261
       0.17113     -17.65462     -17.65462
       0.18013     -17.66704     -17.66704
       0.18914     -17.67986     -17.67986
       0.19815     -17.69304     -17.69304
       0.20715     -17.70655     -17.70655
       0.21616     -17.72035     -17.72035
       0.22517     -17.73443     -17.73443
       0.23417     -17.74876     -17.74876
       0.24318     -17.76331     -17.76331
       0.25219     -17.77806     -17.77806
       0.26119     -17.79299     -17.79299
       0.27020     -17.80808     -17.80808
       0.27921     -17.82329     -17.82329
       0.28821     -17.83861     -17.83861
       0.29722     -17.85402     -17.85402
       0.30623     -17.86949     -17.86949
       0.31523     -17.88501     -17.88501
       0.32424     -17.90055     -17.90055
       0.33325     -17.91611     -17.91611
       0.34225     -17.93166     -17.93166
       0.35126     -17.94718     -17.94718
       0.36027     -17.96267     -17.96267
       0.36927     -17.97811     -17.97811
       0.37828     -17.99347     -17.99347
       0.38729     -18.00875     -18.00875
       0.39629     -18.02393     -18.02393
       0.40530     -18.03901     -18.03901
       0.41431     -18.05397     -18.05397
       0.42331     -18.06879     -18.06879
       0.43232     -18.08347     -18.08347
       0.44133     -18.09800     -18.09800
       0.45033     -18.11236     -18.11236
       0.45934     -18.12655     -18.12655
       0.46835     -18.14056     -18.14056
       0.47735     -18.15437     -18.15437
       0.48636     -18.16799     -18.16799
       0.49537     -18.18140     -18.18140
       0.50437     -18.19459     -18.19459
       0.51338     -18.20756     -18.20756
       0.52239     -18.22030     -18.22030
       0.53139     -18.23281     -18.23281
       0.54040     -18.24507     -18.24507
       0.54941     -18.25709     -18.25709
       0.55841     -18.26885     -18.26885
       0.56742     -18.28036     -18.28036
       0.57643     -18.29160     -18.29159
       0.58543     -18.30256     -18.30256
       0.59444     -18.31326     -18.31326
       0.60345     -18.32368     -18.32368
       0.61245     -18.33382     -18.33382
       0.62146     -18.34366     -18.34366
       0.63047     -18.35322     -18.35322
       0.63947     -18.36249     -18.36249
       0.64848     -18.37146     -18.37146
       0.65749     -18.38013     -18.38013
       0.66649     -18.38849     -18.38849
       0.67550     -18.39655     -18.39655
       0.68451     -18.40430     -18.40430
       0.69351     -18.41173     -18.41173
       0.70252     -18.41886     -18.41886
       0.71153     -18.42566     -18.42566
       0.72053     -18.43215     -18.43215
       0.72954     -18.43832     -18.43832
       0.73855     -18.44416     -18.44416
       0.74755     -18.44968     -18.44968
       0.75656     -18.45487     -18.45487
       0.76557     -18.45974     -18.45974
       0.77457     -18.46427     -18.46427
       0.78358     -18.46848     -18.46848
       0.79259     -18.47235     -18.47235
       0.80159     -18.47589     -18.47589
       0.81060     -18.47910     -18.47910
       0.81961     -18.48197     -18.48197
       0.82861     -18.48450     -18.48450
       0.83762     -18.48670     -18.48670
       0.84663     -18.48856     -18.48856
       0.85563     -18.49009     -18.49009
       0.86464     -18.49127     -18.49127
       0.87365     -18.49212     -18.49212
       0.88265     -18.49263     -18.49263
       0.89166     -18.49280     -18.49280
       0.89166     -18.49280     -18.49280
       0.90440     -18.49246     -18.49246
       0.91713     -18.49144     -18.49144
       0.92987     -18.48975     -18.48975
       0.94261     -18.48738     -18.48738
       0.95535     -18.48433     -18.48433
       0.96808     -18.48061     -18.48061
       0.98082     -18.47621     -18.47621
       0.99356     -18.47114     -18.47114
       1.00629     -18.46540     -18.46540
       1.01903     -18.45899     -18.45898
       1.03177     -18.45190     -18.45190
       1.04451     -18.44416     -18.44416
       1.05724     -18.43574     -18.43574
       1.06998     -18.42667     -18.42667
       1.08272     -18.41693     -18.41693
       1.09546     -18.40654     -18.40654
       1.10819     -18.39550     -18.39550
       1.12093     -18.38380     -18.38380
       1.13367     -18.37146     -18.37146
       1.14641     -18.35847     -18.35847
       1.15914     -18.34484     -18.34484
       1.17188     -18.33058     -18.33058
       1.18462     -18.31568     -18.31568
       1.19735     -18.30016     -18.30016
       1.21009     -18.28401     -18.28401
       1.22283     -18.26725     -18.26725
       1.23557     -18.24987     -18.24987
       1.24830     -18.23189     -18.23189
       1.26104     -18.21331     -18.21331
       1.27378     -18.19414     -18.19414
       1.28652     -18.17437     -18.17437
       1.29925     -18.15402     -18.15402
       1.31199     -18.13311     -18.13311
       1.32473     -18.11162     -18.11162
       1.33746     -18.08957     -18.08957
       1.35020     -18.06698     -18.06698
       1.36294     -18.04384     -18.04384
       1.37568     -18.02017     -18.02017
       1.38841     -17.99598     -17.99598
       1.40115     -17.97127     -17.97127
       1.41389     -17.94606     -17.94606
       1.42663     -17.92036     -17.92036
       1.43936     -17.89417     -17.89417
       1.45210     -17.86752     -17.86752
       1.46484     -17.84041     -17.84041
       1.47758     -17.81285     -17.81285
       1.49031     -17.78486     -17.78486
       1.50305     -17.75645     -17.75645
       1.51579     -17.72765     -17.72765
       1.52852     -17.69845     -17.69845
       1.54126     -17.66889     -17.66889
       1.55400     -17.63897     -17.63897
       1.56674     -17.60871     -17.60871
       1.57947     -17.57814     -17.57814
       1.59221     -17.54727     -17.54727
       1.60495     -17.51612     -17.51612
       1.61769     -17.48471     -17.48471
       1.63042     -17.45308     -17.45308
       1.64316     -17.42123     -17.42123
       1.65590     -17.38920     -17.38920
       1.66864     -17.35702     -17.35702
       1.68137     -17.32470     -17.32470
       1.69411     -17.29227     -17.29227
       1.70685     -17.25978     -17.25978
       1.71958     -17.22725     -17.22725
       1.73232     -17.19470     -17.19470
       1.74506     -17.16218     -17.16218
       1.75780     -17.12973     -17.12973
       1.77053     -17.09737     -17.09737
       1.78327     -17.06517     -17.06517
       1.79601     -17.03316     -17.03316
       1.80875     -17.00139     -17.00139
       1.82148     -16.96989     -16.96989
       1.83422     -16.93873     -16.93873
       1.84696     -16.90795     -16.90795
       1.85970     -16.87763     -16.87763
       1.87243     -16.84781     -16.84781
       1.88517     -16.81856     -16.81856
       1.89791     -16.78992     -16.78992
       1.91064     -16.76199     -16.76199
       1.92338     -16.73482     -16.73482
       1.93612     -16.70850     -16.70850
       1.94886     -16.68308     -16.68308
       1.96159     -16.65865     -16.65865
       1.97433     -16.63528     -16.63528
       1.98707     -16.61307     -16.61307
       1.99981     -16.59208     -16.59208
       2.01254     -16.57240     -16.57240
       2.02528     -16.55410     -16.55410
       2.03802     -16.53725     -16.53725
       2.05076     -16.52195     -16.52195
       2.06349     -16.50827     -16.50827
       2.07623     -16.49626     -16.49626
       2.08897     -16.48598     -16.48598
       2.10170     -16.47750     -16.47750
       2.11444     -16.47085     -16.47085
       2.12718     -16.46607     -16.46607
       2.13992     -16.46320     -16.46320
       2.15265     -16.46224     -16.46224
       2.15265     -16.46224     -16.46224
       2.16166     -16.46272     -16.46272
       2.17067     -16.46415     -16.46415
       2.17967     -16.46654     -16.46654
       2.18868     -16.46987     -16.46987
       2.19769     -16.47413     -16.47413
       2.20669     -16.47929     -16.47929
       2.21570     -16.48535     -16.48535
       2.22471     -16.49226     -16.49226
       2.23371     -16.50000     -16.50000
       2.24272     -16.50853     -16.50853
       2.25173     -16.51783     -16.51783
       2.26073     -16.52789     -16.52789
       2.26974     -16.53862     -16.53862
       2.27875     -16.55001     -16.55001
       2.28775     -16.56201     -16.56201
       2.29676     -16.57461     -16.57461
       2.30577     -16.58775     -16.58775
       2.31477     -16.60140     -16.60140
       2.32378     -16.61551     -16.61551
       2.33279     -16.63006     -16.63006
       2.34179     -16.64499     -16.64499
       2.35080     -16.66028     -16.66028
       2.35981     -16.67592     -16.67592
       2.36881     -16.69183     -16.69183
       2.37782     -16.70800     -16.70800
       2.38683     -16.72440     -16.72440
       2.39583     -16.74100     -16.74100
       2.40484     -16.75777     -16.75777
       2.41385     -16.77467     -16.77467
       2.42285     -16.79169     -16.79169
       2.43186     -16.80880     -16.80880
       2.44087     -16.82597     -16.82597
       2.44987     -16.84320     -16.84320
       2.45888     -16.86044     -16.86044
       2.46789     -16.87769     -16.87769
       2.47689     -16.89493     -16.89493
       2.48590     -16.91212     -16.91212
       2.49491     -16.92926     -16.92926
       2.50391     -16.94633     -16.94633
       2.51292     -16.96332     -16.96332
       2.52193     -16.98021     -16.98021
       2.53093     -16.99697     -16.99697
       2.53994     -17.01361     -17.01361
       2.54895     -17.03012     -17.03012
       2.55795     -17.04648     -17.04648
       2.56696     -17.06267     -17.06267
       2.57597     -17.07869     -17.07869
       2.58497     -17.09452     -17.09452
       2.59398     -17.11016     -17.11016
       2.60299     -17.12560     -17.12560
       2.61199     -17.14082     -17.14082
       2.62100     -17.15582     -17.15582
       2.63001     -17.17059     -17.17059
       2.63901     -17.18513     -17.18513
       2.64802     -17.19943     -17.19943
       2.65703     -17.21349     -17.21349
       2.66603     -17.22728     -17.22728
       2.67504     -17.24082     -17.24082
       2.68405     -17.25408     -17.25408
       2.69305     -17.26708     -17.26708
       2.70206     -17.27980     -17.27980
       2.71107     -17.29223     -17.29223
       2.72007     -17.30438     -17.30438
       2.72908     -17.31624     -17.31624
       2.73809     -17.32781     -17.32781
       2.74709     -17.33908     -17.33908
       2.75610     -17.35004     -17.35004
       2.76511     -17.36070     -17.36070
       2.77411     -17.37105     -17.37105
       2.78312     -17.38108     -17.38108
       2.79213     -17.39080     -17.39080
       2.80113     -17.40021     -17.40021
       2.81014     -17.40929     -17.40929
       2.81915     -17.41805     -17.41804
       2.82815     -17.42648     -17.42648
       2.83716     -17.43458     -17.43458
       2.84617     -17.44235     -17.44235
       2.85517     -17.44979     -17.44979
       2.86418     -17.45690     -17.45690
       2.87319     -17.46367     -17.46367
       2.88219     -17.47010     -17.47010
       2.89120     -17.47619     -17.47619
       2.90021     -17.48194     -17.48194
       2.90921     -17.48735     -17.48735
       2.91822     -17.49242     -17.49242
       2.92723     -17.49714     -17.49714
       2.93623     -17.50152     -17.50152
       2.94524     -17.50555     -17.50555
       2.95425     -17.50923     -17.50923
       2.96325     -17.51257     -17.51257
       2.97226     -17.51555     -17.51555
       2.98127     -17.51818     -17.51818
       2.99027     -17.52047     -17.52047
       2.99928     -17.52241     -17.52241
       3.00829     -17.52399     -17.52399
       3.01729     -17.52522     -17.52522
       3.02630     -17.52610     -17.52610
       3.03531     -17.52663     -17.52663
       3.04431     -17.52681     -17.52681
# Band    2
       3.04431     -14.50228     -14.50228
       3.03531     -14.50217     -14.50217
       3.02630     -14.50184     -14.50184
       3.01729     -14.50128     -14.50128
       3.00829     -14.50051     -14.50051
       2.99928     -14.49952     -14.49952
       2.99027     -14.49830     -14.49830
       2.98127     -14.49687     -14.49687
       2.97226     -14.49523     -14.49523
       2.96325     -14.49337     -14.49337
       2.95425     -14.49130     -14.49130
