# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -18.34496     -18.34496
       0.00937     -18.34537     -18.34537
       0.01874     -18.34659     -18.34659
       0.02811     -18.34861     -18.34861
       0.03748     -18.35143     -18.35143
       0.04685     -18.35504     -18.35504
       0.05622     -18.35943     -18.35943
       0.06559     -18.36458     -18.36458
       0.07496     -18.37048     -18.37048
       0.08434     -18.37711     -18.37710
       0.09371     -18.38444     -18.38444
       0.10308     -18.39246     -18.39245
       0.11245     -18.40113     -18.40113
       0.12182     -18.41044     -18.41044
       0.13119     -18.42036     -18.42036
       0.14056     -18.43086     -18.43086
       0.14993     -18.44192     -18.44192
       0.15930     -18.45350     -18.45350
       0.16867     -18.46557     -18.46557
       0.17804     -18.47811     -18.47811
       0.18741     -18.49109     -18.49109
       0.19678     -18.50447     -18.50447
       0.20615     -18.51823     -18.51823
       0.21552     -18.53235     -18.53235
       0.22489     -18.54678     -18.54678
       0.23426     -18.56151     -18.56151
       0.24363     -18.57650     -18.57650
       0.25301     -18.59173     -18.59173
       0.26238     -18.60719     -18.60718
       0.27175     -18.62283     -18.62282
       0.28112     -18.63863     -18.63863
       0.29049     -18.65458     -18.65457
       0.29986     -18.67064     -18.67064
       0.30923     -18.68680     -18.68680
       0.31860     -18.70304     -18.70304
       0.32797     -18.71933     -18.71932
       0.33734     -18.73565     -18.73565
       0.34671     -18.75199     -18.75199
       0.35608     -18.76833     -18.76833
       0.36545     -18.78464     -18.78464
       0.37482     -18.80092     -18.80092
       0.38419     -18.81715     -18.81715
       0.39356     -18.83331     -18.83331
       0.40293     -18.84938     -18.84938
       0.41230     -18.86536     -18.86536
       0.42168     -18.88123     -18.88123
       0.43105     -18.89697     -18.89697
       0.44042     -18.91258     -18.91258
       0.44979     -18.92804     -18.92804
       0.45916     -18.94334     -18.94333
       0.46853     -18.95847     -18.95847
       0.47790     -18.97342     -18.97342
       0.48727     -18.98818     -18.98818
       0.49664     -19.00275     -19.00275
       0.50601     -19.01711     -19.01710
       0.51538     -19.03124     -19.03124
       0.52475     -19.04516     -19.04516
       0.53412     -19.05884     -19.05884
       0.54349     -19.07228     -19.07228
       0.55286     -19.08548     -19.08547
       0.56223     -19.09842     -19.09842
       0.57160     -19.11110     -19.11110
       0.58097     -19.12352     -19.12352
       0.59035     -19.13566     -19.13566
       0.59972     -19.14753     -19.14753
       0.60909     -19.15911     -19.15911
       0.61846     -19.17041     -19.17041
       0.62783     -19.18141     -19.18141
       0.63720     -19.19212     -19.19212
       0.64657     -19.20253     -19.20252
       0.65594     -19.21263     -19.21262
       0.66531     -19.22241     -19.22241
       0.67468     -19.23189     -19.23189
       0.68405     -19.24105     -19.24105
       0.69342     -19.24989     -19.24989
       0.70279     -19.25841     -19.25841
       0.71216     -19.26660     -19.26660
       0.72153     -19.27446     -19.27446
       0.73090     -19.28199     -19.28199
       0.74027     -19.28919     -19.28918
       0.74964     -19.29605     -19.29604
       0.75902     -19.30257     -19.30257
       0.76839     -19.30875     -19.30875
       0.77776     -19.31458     -19.31458
       0.78713     -19.32008     -19.32007
       0.79650     -19.32522     -19.32522
       0.80587     -19.33002     -19.33001
       0.81524     -19.33446     -19.33446
       0.82461     -19.33856     -19.33856
       0.83398     -19.34230     -19.34230
       0.84335     -19.34569     -19.34569
       0.85272     -19.34873     -19.34873
       0.86209     -19.35141     -19.35141
       0.87146     -19.35374     -19.35374
       0.88083     -19.35571     -19.35571
       0.89020     -19.35732     -19.35732
       0.89957     -19.35857     -19.35857
       0.90894     -19.35947     -19.35947
       0.91831     -19.36001     -19.36001
       0.92769     -19.36019     -19.36018
       0.92769     -19.36019     -19.36018
       0.94094     -19.35983     -19.35983
       0.95419     -19.35875     -19.35875
       0.96744     -19.35696     -19.35696
       0.98069     -19.35445     -19.35445
       0.99394     -19.35123     -19.35123
       1.00720     -19.34729     -19.34729
       1.02045     -19.34264     -19.34264
       1.03370     -19.33728     -19.33728
       1.04695     -19.33121     -19.33120
       1.06020     -19.32443     -19.32443
       1.07346     -19.31694     -19.31694
       1.08671     -19.30875     -19.30875
       1.09996     -19.29986     -19.29986
       1.11321     -19.29027     -19.29027
       1.12646     -19.27999     -19.27999
       1.13972     -19.26901     -19.26901
       1.15297     -19.25734     -19.25734
       1.16622     -19.24500     -19.24500
       1.17947     -19.23197     -19.23196
       1.19272     -19.21826     -19.21826
       1.20598     -19.20388     -19.20388
       1.21923     -19.18884     -19.18884
       1.23248     -19.17314     -19.17313
       1.24573     -19.15677     -19.15677
       1.25898     -19.13976     -19.13976
       1.27224     -19.12211     -19.12211
       1.28549     -19.10381     -19.10381
       1.29874     -19.08489     -19.08489
       1.31199     -19.06534     -19.06534
       1.32524     -19.04518     -19.04518
       1.33850     -19.02441     -19.02440
       1.35175     -19.00303     -19.00303
       1.36500     -18.98107     -18.98107
       1.37825     -18.95852     -18.95852
       1.39150     -18.93540     -18.93540
       1.40476     -18.91172     -18.91172
       1.41801     -18.88749     -18.88749
       1.43126     -18.86271     -18.86271
       1.44451     -18.83741     -18.83741
       1.45776     -18.81158     -18.81157
       1.47102     -18.78524     -18.78524
       1.48427     -18.75842     -18.75842
       1.49752     -18.73111     -18.73111
       1.51077     -18.70334     -18.70334
       1.52402     -18.67512     -18.67512
       1.53728     -18.64647     -18.64647
       1.55053     -18.61739     -18.61739
       1.56378     -18.58792     -18.58791
       1.57703     -18.55806     -18.55805
       1.59028     -18.52783     -18.52783
       1.60354     -18.49726     -18.49725
       1.61679     -18.46636     -18.46636
       1.63004     -18.43515     -18.43515
       1.64329     -18.40366     -18.40366
       1.65654     -18.37192     -18.37192
       1.66980     -18.33995     -18.33994
       1.68305     -18.30775     -18.30775
       1.69630     -18.27536     -18.27536
       1.70955     -18.24282     -18.24282
       1.72280     -18.21016     -18.21016
       1.73606     -18.17738     -18.17738
       1.74931     -18.14455     -18.14455
       1.76256     -18.11168     -18.11168
       1.77581     -18.07881     -18.07881
       1.78906     -18.04596     -18.04596
       1.80231     -18.01319     -18.01319
       1.81557     -17.98053     -17.98053
       1.82882     -17.94802     -17.94802
       1.84207     -17.91571     -17.91571
       1.85532     -17.88362     -17.88362
       1.86857     -17.85183     -17.85183
       1.88183     -17.82037     -17.82037
       1.89508     -17.78928     -17.78928
       1.90833     -17.75862     -17.75862
       1.92158     -17.72845     -17.72845
       1.93483     -17.69882     -17.69882
       1.94809     -17.66980     -17.66980
       1.96134     -17.64142     -17.64142
       1.97459     -17.61375     -17.61375
       1.98784     -17.58686     -17.58686
       2.00109     -17.56081     -17.56081
       2.01435     -17.53567     -17.53567
       2.02760     -17.51149     -17.51149
       2.04085     -17.48835     -17.48835
       2.05410     -17.46630     -17.46630
       2.06735     -17.44543     -17.44542
       2.08061     -17.42577     -17.42577
       2.09386     -17.40742     -17.40742
       2.10711     -17.39042     -17.39042
       2.12036     -17.37483     -17.37483
       2.13361     -17.36071     -17.36071
       2.14687     -17.34812     -17.34812
       2.16012     -17.33710     -17.33710
       2.17337     -17.32769     -17.32769
