# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -19.01704     -19.01704
       0.00966     -19.01747     -19.01747
       0.01933     -19.01873     -19.01873
       0.02899     -19.02083     -19.02083
       0.03865     -19.02376     -19.02376
       0.04832     -19.02751     -19.02751
       0.05798     -19.03207     -19.03207
       0.06764     -19.03742     -19.03742
       0.07731     -19.04355     -19.04355
       0.08697     -19.05044     -19.05044
       0.09663     -19.05806     -19.05806
       0.10630     -19.06638     -19.06638
       0.11596     -19.07540     -19.07540
       0.12562     -19.08509     -19.08509
       0.13529     -19.09541     -19.09541
       0.14495     -19.10633     -19.10633
       0.15461     -19.11783     -19.11783
       0.16428     -19.12988     -19.12988
       0.17394     -19.14245     -19.14245
       0.18360     -19.15550     -19.15550
       0.19327     -19.16901     -19.16901
       0.20293     -19.18295     -19.18295
       0.21259     -19.19728     -19.19728
       0.22226     -19.21199     -19.21199
       0.23192     -19.22703     -19.22703
       0.24158     -19.24238     -19.24238
       0.25125     -19.25801     -19.25801
       0.26091     -19.27388     -19.27388
       0.27057     -19.29000     -19.29000
       0.28024     -19.30631     -19.30631
       0.28990     -19.32279     -19.32279
       0.29956     -19.33943     -19.33943
       0.30923     -19.35620     -19.35620
       0.31889     -19.37306     -19.37306
       0.32856     -19.39001     -19.39001
       0.33822     -19.40702     -19.40702
       0.34788     -19.42406     -19.42406
       0.35755     -19.44113     -19.44113
       0.36721     -19.45819     -19.45819
       0.37687     -19.47523     -19.47523
       0.38654     -19.49224     -19.49224
       0.39620     -19.50920     -19.50920
       0.40586     -19.52609     -19.52609
       0.41553     -19.54289     -19.54289
       0.42519     -19.55960     -19.55960
       0.43485     -19.57619     -19.57619
       0.44452     -19.59265     -19.59265
       0.45418     -19.60898     -19.60898
       0.46384     -19.62515     -19.62515
       0.47351     -19.64115     -19.64115
       0.48317     -19.65698     -19.65698
       0.49283     -19.67263     -19.67263
       0.50250     -19.68808     -19.68808
       0.51216     -19.70332     -19.70332
       0.52182     -19.71834     -19.71834
       0.53149     -19.73314     -19.73314
       0.54115     -19.74771     -19.74771
       0.55081     -19.76203     -19.76203
       0.56048     -19.77610     -19.77610
       0.57014     -19.78992     -19.78992
       0.57980     -19.80347     -19.80347
       0.58947     -19.81675     -19.81675
       0.59913     -19.82976     -19.82976
       0.60879     -19.84247     -19.84247
       0.61846     -19.85490     -19.85490
       0.62812     -19.86704     -19.86704
       0.63778     -19.87887     -19.87887
       0.64745     -19.89040     -19.89040
       0.65711     -19.90162     -19.90162
       0.66677     -19.91252     -19.91252
       0.67644     -19.92310     -19.92310
       0.68610     -19.93336     -19.93336
       0.69576     -19.94329     -19.94329
       0.70543     -19.95291     -19.95291
       0.71509     -19.96217     -19.96217
       0.72475     -19.97110     -19.97110
       0.73442     -19.97968     -19.97968
       0.74408     -19.98792     -19.98792
       0.75374     -19.99581     -19.99581
       0.76341     -20.00336     -20.00336
       0.77307     -20.01055     -20.01055
       0.78273     -20.01738     -20.01738
       0.79240     -20.02386     -20.02386
       0.80206     -20.02998     -20.02998
       0.81172     -20.03573     -20.03573
       0.82139     -20.04113     -20.04113
       0.83105     -20.04615     -20.04615
       0.84071     -20.05082     -20.05082
       0.85038     -20.05511     -20.05511
       0.86004     -20.05904     -20.05904
       0.86970     -20.06259     -20.06259
       0.87937     -20.06578     -20.06578
       0.88903     -20.06859     -20.06859
       0.89869     -20.07102     -20.07102
       0.90836     -20.07309     -20.07309
       0.91802     -20.07478     -20.07478
       0.92769     -20.07609     -20.07609
       0.93735     -20.07703     -20.07703
       0.94701     -20.07760     -20.07760
       0.95668     -20.07778     -20.07778
       0.95668     -20.07778     -20.07778
       0.97034     -20.07741     -20.07741
       0.98401     -20.07628     -20.07628
       0.99767     -20.07440     -20.07440
       1.01134     -20.07177     -20.07177
       1.02501     -20.06839     -20.06839
       1.03867     -20.06427     -20.06427
       1.05234     -20.05939     -20.05939
       1.06600     -20.05377     -20.05377
       1.07967     -20.04741     -20.04741
       1.09334     -20.04030     -20.04030
       1.10700     -20.03246     -20.03246
       1.12067     -20.02388     -20.02388
       1.13433     -20.01456     -20.01456
       1.14800     -20.00451     -20.00451
       1.16167     -19.99374     -19.99374
       1.17533     -19.98224     -19.98224
       1.18900     -19.97003     -19.97003
       1.20266     -19.95710     -19.95710
       1.21633     -19.94346     -19.94346
       1.23000     -19.92912     -19.92912
       1.24366     -19.91408     -19.91408
       1.25733     -19.89834     -19.89834
       1.27100     -19.88191     -19.88191
       1.28466     -19.86481     -19.86481
       1.29833     -19.84702     -19.84702
       1.31199     -19.82857     -19.82857
       1.32566     -19.80946     -19.80946
       1.33933     -19.78970     -19.78970
       1.35299     -19.76929     -19.76929
       1.36666     -19.74825     -19.74825
       1.38032     -19.72658     -19.72658
       1.39399     -19.70429     -19.70429
       1.40766     -19.68139     -19.68139
       1.42132     -19.65789     -19.65789
       1.43499     -19.63381     -19.63381
       1.44865     -19.60916     -19.60916
       1.46232     -19.58394     -19.58394
       1.47599     -19.55818     -19.55818
       1.48965     -19.53187     -19.53187
       1.50332     -19.50505     -19.50505
       1.51698     -19.47771     -19.47771
       1.53065     -19.44988     -19.44988
       1.54432     -19.42157     -19.42157
       1.55798     -19.39280     -19.39280
       1.57165     -19.36358     -19.36358
       1.58532     -19.33393     -19.33393
       1.59898     -19.30387     -19.30387
       1.61265     -19.27342     -19.27342
       1.62631     -19.24261     -19.24261
       1.63998     -19.21144     -19.21144
       1.65365     -19.17995     -19.17995
       1.66731     -19.14816     -19.14816
       1.68098     -19.11609     -19.11609
       1.69464     -19.08376     -19.08376
       1.70831     -19.05119     -19.05119
       1.72198     -19.01843     -19.01843
       1.73564     -18.98549     -18.98549
       1.74931     -18.95239     -18.95239
       1.76297     -18.91919     -18.91919
       1.77664     -18.88591     -18.88591
       1.79031     -18.85257     -18.85257
       1.80397     -18.81921     -18.81921
       1.81764     -18.78587     -18.78587
       1.83131     -18.75259     -18.75259
       1.84497     -18.71940     -18.71940
       1.85864     -18.68635     -18.68635
       1.87230     -18.65347     -18.65347
       1.88597     -18.62080     -18.62080
       1.89964     -18.58840     -18.58840
       1.91330     -18.55630     -18.55630
       1.92697     -18.52455     -18.52455
       1.94063     -18.49320     -18.49320
       1.95430     -18.46231     -18.46231
       1.96797     -18.43191     -18.43191
       1.98163     -18.40207     -18.40207
       1.99530     -18.37283     -18.37283
       2.00896     -18.34428     -18.34428
       2.02263     -18.31642     -18.31642
       2.03630     -18.28934     -18.28934
       2.04996     -18.26310     -18.26310
       2.06363     -18.23775     -18.23775
       2.07729     -18.21333     -18.21333
       2.09096     -18.18992     -18.18992
       2.10463     -18.16758     -18.16758
       2.11829     -18.14635     -18.14635
       2.13196     -18.12630     -18.12630
       2.14563     -18.10748     -18.10748
       2.15929     -18.08994     -18.08994
       2.17296     -18.07373     -18.07373
       2.18662     -18.05891     -18.05891
       2.20029     -18.04551     -18.04551
       2.21396     -18.03358     -18.03358
       2.22762     -18.02316     -18.02316
       2.24129     -18.01430     -18.01430
       2.25495     -18.00699     -18.00699
       2.26862     -18.00128     -18.00128
       2.28229     -17.99720     -17.99720
       2.29595     -17.99477     -17.99477
       2.30962     -17.99395     -17.99395
       2.30962     -17.99395     -17.99395
       2.31928     -17.99436     -17.99436
       2.32895     -17.99558     -17.99558
       2.33861     -17.99761     -17.99761
       2.34827     -18.00045     -18.00045
       2.35794     -18.00410     -18.00410
       2.36760     -18.00853     -18.00853
       2.37726     -18.01374     -18.01374
       2.38693     -18.01971     -18.01971
       2.39659     -18.02641     -18.02641
       2.40625     -18.03382     -18.03382
       2.41592     -18.04192     -18.04192
       2.42558     -18.05069     -18.05069
       2.43524     -18.06010     -18.06010
       2.44491     -18.07013     -18.07013
       2.45457     -18.08074     -18.08074
       2.46423     -18.09190     -18.09190
       2.47390     -18.10360     -18.10360
       2.48356     -18.11579     -18.11579
       2.49322     -18.12845     -18.12845
