# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -18.78906     -18.78906
       0.00956     -18.78948     -18.78948
       0.01913     -18.79073     -18.79073
       0.02869     -18.79282     -18.79282
       0.03826     -18.79572     -18.79572
       0.04782     -18.79945     -18.79945
       0.05738     -18.80397     -18.80397
       0.06695     -18.80928     -18.80928
       0.07651     -18.81536     -18.81536
       0.08607     -18.82218     -18.82218
       0.09564     -18.82974     -18.82974
       0.10520     -18.83801     -18.83801
       0.11477     -18.84695     -18.84695
       0.12433     -18.85655     -18.85655
       0.13389     -18.86678     -18.86678
       0.14346     -18.87760     -18.87760
       0.15302     -18.88900     -18.88900
       0.16258     -18.90094     -18.90094
       0.17215     -18.91339     -18.91339
       0.18171     -18.92632     -18.92632
       0.19128     -18.93971     -18.93971
       0.20084     -18.95351     -18.95351
       0.21040     -18.96771     -18.96771
       0.21997     -18.98227     -18.98227
       0.22953     -18.99716     -18.99716
       0.23909     -19.01236     -19.01236
       0.24866     -19.02783     -19.02783
       0.25822     -19.04355     -19.04355
       0.26779     -19.05949     -19.05949
       0.27735     -19.07563     -19.07563
       0.28691     -19.09194     -19.09195
       0.29648     -19.10840     -19.10840
       0.30604     -19.12499     -19.12499
       0.31560     -19.14167     -19.14167
       0.32517     -19.15843     -19.15843
       0.33473     -19.17524     -19.17524
       0.34430     -19.19210     -19.19210
       0.35386     -19.20897     -19.20897
       0.36342     -19.22584     -19.22584
       0.37299     -19.24268     -19.24268
       0.38255     -19.25949     -19.25949
       0.39211     -19.27625     -19.27625
       0.40168     -19.29294     -19.29294
       0.41124     -19.30954     -19.30954
       0.42081     -19.32605     -19.32605
       0.43037     -19.34244     -19.34244
       0.43993     -19.35872     -19.35872
       0.44950     -19.37484     -19.37484
       0.45906     -19.39082     -19.39082
       0.46862     -19.40663     -19.40663
       0.47819     -19.42226     -19.42226
       0.48775     -19.43771     -19.43771
       0.49732     -19.45297     -19.45297
       0.50688     -19.46802     -19.46802
       0.51644     -19.48285     -19.48285
       0.52601     -19.49746     -19.49746
       0.53557     -19.51184     -19.51184
       0.54513     -19.52598     -19.52598
       0.55470     -19.53988     -19.53988
       0.56426     -19.55352     -19.55352
       0.57383     -19.56689     -19.56689
       0.58339     -19.58000     -19.58000
       0.59295     -19.59284     -19.59284
       0.60252     -19.60539     -19.60539
       0.61208     -19.61766     -19.61766
       0.62164     -19.62963     -19.62963
       0.63121     -19.64131     -19.64131
       0.64077     -19.65269     -19.65269
       0.65034     -19.66375     -19.66375
       0.65990     -19.67451     -19.67451
       0.66946     -19.68495     -19.68495
       0.67903     -19.69507     -19.69507
       0.68859     -19.70487     -19.70487
       0.69815     -19.71434     -19.71434
       0.70772     -19.72348     -19.72348
       0.71728     -19.73229     -19.73229
       0.72685     -19.74076     -19.74076
       0.73641     -19.74889     -19.74889
       0.74597     -19.75667     -19.75667
       0.75554     -19.76411     -19.76411
       0.76510     -19.77121     -19.77121
       0.77466     -19.77795     -19.77795
       0.78423     -19.78434     -19.78434
       0.79379     -19.79037     -19.79037
       0.80336     -19.79605     -19.79605
       0.81292     -19.80137     -19.80137
       0.82248     -19.80633     -19.80633
       0.83205     -19.81093     -19.81093
       0.84161     -19.81517     -19.81517
       0.85117     -19.81903     -19.81904
       0.86074     -19.82254     -19.82254
       0.87030     -19.82568     -19.82568
       0.87987     -19.82846     -19.82846
       0.88943     -19.83086     -19.83086
       0.89899     -19.83290     -19.83290
       0.90856     -19.83457     -19.83457
       0.91812     -19.83586     -19.83586
       0.92769     -19.83679     -19.83679
       0.93725     -19.83735     -19.83735
       0.94681     -19.83753     -19.83753
       0.94681     -19.83753     -19.83753
       0.96034     -19.83716     -19.83716
       0.97386     -19.83605     -19.83605
       0.98739     -19.83420     -19.83420
       1.00091     -19.83160     -19.83160
       1.01444     -19.82826     -19.82826
       1.02796     -19.82419     -19.82419
       1.04149     -19.81939     -19.81939
       1.05501     -19.81384     -19.81384
       1.06854     -19.80757     -19.80757
       1.08206     -19.80055     -19.80055
       1.09559     -19.79281     -19.79281
       1.10912     -19.78435     -19.78435
       1.12264     -19.77516     -19.77516
       1.13617     -19.76525     -19.76525
       1.14969     -19.75462     -19.75462
       1.16322     -19.74327     -19.74327
       1.17674     -19.73122     -19.73122
       1.19027     -19.71846     -19.71847
       1.20379     -19.70500     -19.70500
       1.21732     -19.69085     -19.69085
       1.23084     -19.67600     -19.67600
       1.24437     -19.66046     -19.66046
       1.25789     -19.64424     -19.64425
       1.27142     -19.62735     -19.62735
       1.28494     -19.60979     -19.60980
       1.29847     -19.59157     -19.59157
       1.31199     -19.57270     -19.57270
       1.32552     -19.55317     -19.55317
       1.33904     -19.53301     -19.53301
       1.35257     -19.51221     -19.51221
       1.36609     -19.49079     -19.49079
       1.37962     -19.46877     -19.46877
       1.39314     -19.44614     -19.44614
       1.40667     -19.42291     -19.42291
       1.42019     -19.39910     -19.39910
       1.43372     -19.37472     -19.37472
       1.44725     -19.34977     -19.34977
       1.46077     -19.32428     -19.32428
       1.47430     -19.29825     -19.29825
       1.48782     -19.27170     -19.27170
       1.50135     -19.24463     -19.24463
