# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -18.15329     -18.15329
       0.00928     -18.15370     -18.15370
       0.01855     -18.15493     -18.15493
       0.02783     -18.15698     -18.15698
       0.03711     -18.15984     -18.15984
       0.04638     -18.16350     -18.16350
       0.05566     -18.16795     -18.16795
       0.06494     -18.17316     -18.17316
       0.07421     -18.17914     -18.17914
       0.08349     -18.18584     -18.18584
       0.09277     -18.19326     -18.19326
       0.10205     -18.20138     -18.20138
       0.11132     -18.21015     -18.21015
       0.12060     -18.21957     -18.21957
       0.12988     -18.22959     -18.22959
       0.13915     -18.24020     -18.24020
       0.14843     -18.25136     -18.25136
       0.15771     -18.26307     -18.26307
       0.16698     -18.27526     -18.27526
       0.17626     -18.28791     -18.28791
       0.18554     -18.30100     -18.30100
       0.19481     -18.31449     -18.31449
       0.20409     -18.32837     -18.32837
       0.21337     -18.34259     -18.34259
       0.22264     -18.35713     -18.35713
       0.23192     -18.37196     -18.37196
       0.24120     -18.38705     -18.38705
       0.25047     -18.40238     -18.40238
       0.25975     -18.41792     -18.41792
       0.26903     -18.43365     -18.43365
       0.27831     -18.44953     -18.44953
       0.28758     -18.46556     -18.46556
       0.29686     -18.48169     -18.48169
       0.30614     -18.49792     -18.49792
       0.31541     -18.51423     -18.51423
       0.32469     -18.53057     -18.53057
       0.33397     -18.54694     -18.54694
       0.34324     -18.56333     -18.56333
       0.35252     -18.57971     -18.57971
       0.36180     -18.59607     -18.59607
       0.37107     -18.61238     -18.61238
       0.38035     -18.62864     -18.62864
       0.38963     -18.64482     -18.64482
       0.39890     -18.66092     -18.66092
       0.40818     -18.67692     -18.67692
       0.41746     -18.69280     -18.69280
       0.42674     -18.70856     -18.70856
       0.43601     -18.72418     -18.72418
       0.44529     -18.73964     -18.73964
       0.45457     -18.75495     -18.75495
       0.46384     -18.77008     -18.77008
       0.47312     -18.78502     -18.78502
       0.48240     -18.79978     -18.79978
       0.49167     -18.81434     -18.81434
       0.50095     -18.82868     -18.82868
       0.51023     -18.84281     -18.84281
       0.51950     -18.85671     -18.85671
       0.52878     -18.87037     -18.87037
       0.53806     -18.88380     -18.88380
       0.54733     -18.89698     -18.89698
