# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -17.62764     -17.62764
       0.00901     -17.62804     -17.62804
       0.01801     -17.62924     -17.62924
       0.02702     -17.63123     -17.63123
       0.03603     -17.63402     -17.63402
       0.04503     -17.63757     -17.63757
       0.05404     -17.64190     -17.64190
       0.06305     -17.64698     -17.64698
       0.07205     -17.65279     -17.65279
       0.08106     -17.65932     -17.65932
       0.09007     -17.66653     -17.66653
       0.09907     -17.67441     -17.67441
       0.10808     -17.68295     -17.68295
       0.11709     -17.69210     -17.69210
       0.12609     -17.70184     -17.70184
       0.13510     -17.71215     -17.71215
       0.14411     -17.72299     -17.72299
       0.15311     -17.73435     -17.73435
       0.16212     -17.74618     -17.74618
       0.17113     -17.75846     -17.75846
       0.18013     -17.77116     -17.77116
       0.18914     -17.78425     -17.78425
       0.19815     -17.79771     -17.79771
       0.20715     -17.81150     -17.81150
       0.21616     -17.82559     -17.82559
       0.22517     -17.83996     -17.83996
       0.23417     -17.85458     -17.85458
       0.24318     -17.86943     -17.86943
       0.25219     -17.88448     -17.88448
       0.26119     -17.89970     -17.89970
       0.27020     -17.91508     -17.91508
       0.27921     -17.93058     -17.93058
       0.28821     -17.94619     -17.94619
       0.29722     -17.96188     -17.96188
       0.30623     -17.97765     -17.97765
       0.31523     -17.99345     -17.99345
       0.32424     -18.00928     -18.00928
       0.33325     -18.02512     -18.02512
       0.34225     -18.04094     -18.04094
       0.35126     -18.05675     -18.05675
       0.36027     -18.07251     -18.07251
       0.36927     -18.08821     -18.08821
       0.37828     -18.10384     -18.10384
       0.38729     -18.11938     -18.11938
       0.39629     -18.13482     -18.13482
       0.40530     -18.15015     -18.15015
       0.41431     -18.16536     -18.16536
       0.42331     -18.18042     -18.18042
       0.43232     -18.19534     -18.19534
       0.44133     -18.21010     -18.21010
       0.45033     -18.22469     -18.22469
       0.45934     -18.23911     -18.23911
       0.46835     -18.25334     -18.25334
       0.47735     -18.26737     -18.26737
       0.48636     -18.28119     -18.28119
       0.49537     -18.29481     -18.29481
