# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -17.23925     -17.23925
       0.00884     -17.23964     -17.23964
       0.01767     -17.24081     -17.24081
       0.02651     -17.24274     -17.24274
       0.03534     -17.24545     -17.24545
       0.04418     -17.24891     -17.24891
       0.05301     -17.25312     -17.25312
       0.06185     -17.25805     -17.25805
       0.07068     -17.26370     -17.26370
       0.07952     -17.27004     -17.27004
       0.08835     -17.27706     -17.27706
       0.09719     -17.28473     -17.28473
       0.10602     -17.29302     -17.29302
       0.11486     -17.30192     -17.30192
       0.12369     -17.31139     -17.31139
       0.13253     -17.32141     -17.32141
       0.14136     -17.33196     -17.33196
       0.15020     -17.34298     -17.34298
       0.15903     -17.35448     -17.35448
       0.16787     -17.36642     -17.36642
       0.17670     -17.37875     -17.37875
       0.18554     -17.39148     -17.39148
       0.19437     -17.40455     -17.40455
       0.20321     -17.41795     -17.41795
       0.21204     -17.43163     -17.43163
       0.22088     -17.44559     -17.44559
       0.22971     -17.45979     -17.45979
       0.23855     -17.47421     -17.47421
       0.24738     -17.48883     -17.48883
       0.25622     -17.50361     -17.50361
       0.26505     -17.51854     -17.51854
       0.27389     -17.53359     -17.53359
       0.28272     -17.54874     -17.54874
       0.29156     -17.56397     -17.56397
       0.30039     -17.57927     -17.57927
       0.30923     -17.59461     -17.59461
       0.31806     -17.60998     -17.60998
       0.32690     -17.62535     -17.62535
       0.33573     -17.64071     -17.64071
       0.34457     -17.65604     -17.65604
       0.35340     -17.67133     -17.67133
       0.36224     -17.68656     -17.68656
       0.37107     -17.70173     -17.70173
       0.37991     -17.71681     -17.71681
       0.38874     -17.73179     -17.73179
       0.39758     -17.74666     -17.74666
       0.40641     -17.76141     -17.76141
       0.41525     -17.77602     -17.77602
       0.42408     -17.79049     -17.79049
       0.43292     -17.80481     -17.80481
       0.44175     -17.81896     -17.81896
       0.45059     -17.83295     -17.83295
       0.45942     -17.84674     -17.84674
       0.46826     -17.86035     -17.86035
       0.47710     -17.87376     -17.87376
       0.48593     -17.88696     -17.88696
       0.49477     -17.89995     -17.89995
       0.50360     -17.91272     -17.91272
       0.51244     -17.92526     -17.92526
       0.52127     -17.93757     -17.93757
       0.53011     -17.94964     -17.94964
       0.53894     -17.96147     -17.96147
       0.54778     -17.97304     -17.97304
       0.55661     -17.98435     -17.98435
       0.56545     -17.99541     -17.99541
       0.57428     -18.00620     -18.00620
