# Kpath    Energy-Level (in eV)
# Band    1
       0.00000     -29.74814
       0.01711     -29.74810
       0.03422     -29.74789
       0.05133     -29.74755
       0.06844     -29.74709
       0.08555     -29.74649
       0.10266     -29.74576
       0.11978     -29.74491
       0.13689     -29.74393
       0.15400     -29.74284
       0.17111     -29.74165
       0.18822     -29.74034
       0.20533     -29.73892
       0.22244     -29.73742
       0.23955     -29.73581
       0.25666     -29.73405
       0.27377     -29.73227
       0.29088     -29.73041
       0.30799     -29.72853
       0.32511     -29.72658
       0.34222     -29.72456
       0.35933     -29.72250
       0.37644     -29.72040
       0.39355     -29.71829
       0.41066     -29.71616
       0.42777     -29.71403
       0.44488     -29.71190
       0.46199     -29.70978
       0.47910     -29.70767
       0.49621     -29.70560
       0.51332     -29.70357
       0.53043     -29.70158
       0.54755     -29.69964
       0.56466     -29.69777
       0.58177     -29.69595
       0.59888     -29.69423
       0.61599     -29.69259
       0.63310     -29.69104
       0.65021     -29.68958
       0.66732     -29.68833
       0.68443     -29.68712
       0.70154     -29.68597
       0.71865     -29.68498
       0.73576     -29.68410
       0.75287     -29.68338
       0.76999     -29.68277
       0.78710     -29.68229
       0.80421     -29.68194
       0.82132     -29.68174
       0.83843     -29.68169
       0.83843     -29.68169
       0.85267     -29.68167
       0.86691     -29.68164
       0.88115     -29.68159
       0.89539     -29.68152
       0.90964     -29.68142
       0.92388     -29.68130
       0.93812     -29.68118
       0.95236     -29.68103
       0.96660     -29.68088
       0.98084     -29.68070
       0.99508     -29.68051
       1.00932     -29.68030
       1.02357     -29.68006
       1.03781     -29.67982
       1.05205     -29.67957
       1.06629     -29.67932
       1.08053     -29.67906
       1.09477     -29.67878
       1.10901     -29.67850
       1.12325     -29.67824
       1.13750     -29.67794
       1.15174     -29.67764
       1.16598     -29.67734
       1.18022     -29.67703
       1.19446     -29.67671
       1.20870     -29.67629
       1.22294     -29.67599
       1.23718     -29.67569
       1.25143     -29.67539
       1.26567     -29.67510
       1.27991     -29.67483
       1.29415     -29.67455
       1.30839     -29.67430
       1.32263     -29.67402
       1.33687     -29.67377
       1.35111     -29.67356
       1.36536     -29.67333
       1.37960     -29.67313
       1.39384     -29.67293
       1.40808     -29.67275
       1.42232     -29.67259
       1.43656     -29.67245
       1.45080     -29.67233
       1.46504     -29.67222
       1.47929     -29.67214
       1.49353     -29.67207
       1.50777     -29.67202
       1.52201     -29.67194
       1.53625     -29.67193
       1.53625     -29.67193
       1.55851     -29.67201
       1.58077     -29.67229
       1.60304     -29.67268
       1.62530     -29.67321
       1.64756     -29.67390
       1.66982     -29.67473
       1.69208     -29.67576
       1.71435     -29.67688
       1.73661     -29.67812
       1.75887     -29.67952
       1.78113     -29.68103
       1.80339     -29.68266
       1.82566     -29.68439
       1.84792     -29.68624
       1.87018     -29.68819
       1.89244     -29.69022
       1.91470     -29.69233
       1.93696     -29.69456
       1.95923     -29.69687
       1.98149     -29.69918
       2.00375     -29.70150
       2.02601     -29.70390
       2.04827     -29.70632
       2.07054     -29.70875
       2.09280     -29.71121
       2.11506     -29.71364
       2.13732     -29.71605
       2.15958     -29.71845
       2.18185     -29.72080
       2.20411     -29.72312
       2.22637     -29.72538
       2.24863     -29.72760
       2.27089     -29.72971
       2.29316     -29.73176
       2.31542     -29.73373
       2.33768     -29.73560
       2.35994     -29.73733
       2.38220     -29.73899
       2.40446     -29.74052
       2.42673     -29.74194
       2.44899     -29.74322
       2.47125     -29.74436
       2.49351     -29.74535
       2.51577     -29.74620
       2.53804     -29.74691
       2.56030     -29.74746
       2.58256     -29.74785
       2.60482     -29.74808
       2.62708     -29.74814
       2.62708     -29.74814
       2.64133     -29.74815
       2.65557     -29.74812
       2.66981     -29.74806
       2.68405     -29.74798
       2.69829     -29.74788
       2.71253     -29.74776
       2.72677     -29.74761
       2.74101     -29.74743
       2.75526     -29.74725
       2.76950     -29.74705
       2.78374     -29.74682
       2.79798     -29.74659
       2.81222     -29.74632
       2.82646     -29.74605
       2.84070     -29.74577
       2.85494     -29.74546
       2.86919     -29.74515
       2.88343     -29.74482
       2.89767     -29.74449
       2.91191     -29.74415
       2.92615     -29.74381
       2.94039     -29.74346
       2.95463     -29.74311
       2.96887     -29.74276
       2.98312     -29.74240
       2.99736     -29.74205
       3.01160     -29.74166
       3.02584     -29.74131
       3.04008     -29.74097
       3.05432     -29.74064
       3.06856     -29.74031
       3.08280     -29.73999
       3.09705     -29.73969
       3.11129     -29.73939
       3.12553     -29.73911
       3.13977     -29.73885
       3.15401     -29.73854
       3.16825     -29.73830
       3.18249     -29.73811
       3.19673     -29.73787
       3.21098     -29.73770
       3.22522     -29.73750
       3.23946     -29.73736
       3.25370     -29.73723
       3.26794     -29.73713
       3.28218     -29.73707
       3.29642     -29.73702
       3.31066     -29.73702
       3.32491     -29.73701
       3.32491     -29.73701
       3.34202     -29.73693
       3.35913     -29.73673
       3.37624     -29.73641
       3.39335     -29.73595
       3.41046     -29.73536
       3.42757     -29.73466
       3.44468     -29.73383
       3.46179     -29.73288
       3.47890     -29.73180
       3.49601     -29.73062
       3.51312     -29.72937
       3.53023     -29.72798
       3.54735     -29.72645
       3.56446     -29.72494
       3.58157     -29.72330
       3.59868     -29.72157
       3.61579     -29.71977
       3.63290     -29.71790
       3.65001     -29.71598
