# Kpath    Energy-Level (in eV)
# Band    1
       0.00000     -19.56994
       0.01704     -19.56922
       0.03408     -19.56707
       0.05112     -19.56348
       0.06816     -19.55845
       0.08520     -19.55199
       0.10224     -19.54410
       0.11928     -19.53478
       0.13632     -19.52404
       0.15336     -19.51187
       0.17040     -19.49828
       0.18744     -19.48328
       0.20448     -19.46687
       0.22152     -19.44905
       0.23856     -19.42984
       0.25560     -19.40923
       0.27264     -19.38724
       0.28968     -19.36387
       0.30672     -19.33913
       0.32376     -19.31304
       0.34080     -19.28560
       0.35784     -19.25683
       0.37488     -19.22674
       0.39192     -19.19535
       0.40896     -19.16267
       0.42600     -19.12873
       0.44304     -19.09355
       0.46009     -19.05715
       0.47713     -19.01957
       0.49417     -18.98083
       0.51121     -18.94098
       0.52825     -18.90006
       0.54529     -18.85813
       0.56233     -18.81525
       0.57937     -18.77149
       0.59641     -18.72696
       0.61345     -18.68177
       0.63049     -18.63606
       0.64753     -18.59000
       0.66457     -18.54384
       0.68161     -18.49788
       0.69865     -18.45248
       0.71569     -18.40817
       0.73273     -18.36563
       0.74977     -18.32573
       0.76681     -18.28966
       0.78385     -18.25886
       0.80089     -18.23501
       0.81793     -18.21981
       0.83497     -18.21458
       0.83497     -18.21458
       0.84918     -18.21445
       0.86339     -18.21404
       0.87760     -18.21337
       0.89180     -18.21243
       0.90601     -18.21123
       0.92022     -18.20978
       0.93443     -18.20807
       0.94864     -18.20611
       0.96285     -18.20391
       0.97706     -18.20148
       0.99127     -18.19882
       1.00548     -18.19595
       1.01969     -18.19287
       1.03389     -18.18960
       1.04810     -18.18614
       1.06231     -18.18251
       1.07652     -18.17873
       1.09073     -18.17480
       1.10494     -18.17075
       1.11915     -18.16659
       1.13336     -18.16232
       1.14757     -18.15797
       1.16178     -18.15357
       1.17598     -18.14911
       1.19019     -18.14463
       1.20440     -18.14013
       1.21861     -18.13565
       1.23282     -18.13119
       1.24703     -18.12678
       1.26124     -18.12243
       1.27545     -18.11817
       1.28966     -18.11401
       1.30386     -18.10998
       1.31807     -18.10608
       1.33228     -18.10234
       1.34649     -18.09877
       1.36070     -18.09539
       1.37491     -18.09222
       1.38912     -18.08927
       1.40333     -18.08655
       1.41754     -18.08409
       1.43175     -18.08188
       1.44595     -18.07995
       1.46016     -18.07830
       1.47437     -18.07693
       1.48858     -18.07586
       1.50279     -18.07509
       1.51700     -18.07463
       1.53121     -18.07448
       1.53121     -18.07448
       1.55340     -18.07687
       1.57558     -18.08402
       1.59777     -18.09584
       1.61996     -18.11222
       1.64214     -18.13297
       1.66433     -18.15788
       1.68652     -18.18668
       1.70870     -18.21906
       1.73089     -18.25468
       1.75308     -18.29319
       1.77527     -18.33423
       1.79745     -18.37742
       1.81964     -18.42239
       1.84183     -18.46880
       1.86401     -18.51632
       1.88620     -18.56463
       1.90839     -18.61344
       1.93057     -18.66250
       1.95276     -18.71155
       1.97495     -18.76037
       1.99714     -18.80876
       2.01932     -18.85654
       2.04151     -18.90355
       2.06370     -18.94964
       2.08588     -18.99468
       2.10807     -19.03854
       2.13026     -19.08112
       2.15244     -19.12232
       2.17463     -19.16206
       2.19682     -19.20025
       2.21900     -19.23683
       2.24119     -19.27173
       2.26338     -19.30489
       2.28557     -19.33627
       2.30775     -19.36581
       2.32994     -19.39348
       2.35213     -19.41923
       2.37431     -19.44303
       2.39650     -19.46485
       2.41869     -19.48467
       2.44087     -19.50246
       2.46306     -19.51821
       2.48525     -19.53189
       2.50744     -19.54349
       2.52962     -19.55300
       2.55181     -19.56040
       2.57400     -19.56570
       2.59618     -19.56888
       2.61837     -19.56994
       2.61837     -19.56994
       2.63258     -19.56960
       2.64679     -19.56857
       2.66100     -19.56687
       2.67521     -19.56448
       2.68942     -19.56142
       2.70362     -19.55770
       2.71783     -19.55330
       2.73204     -19.54826
       2.74625     -19.54257
       2.76046     -19.53624
       2.77467     -19.52929
       2.78888     -19.52173
       2.80309     -19.51358
       2.81730     -19.50485
       2.83151     -19.49556
       2.84571     -19.48573
       2.85992     -19.47538
       2.87413     -19.46455
       2.88834     -19.45324
       2.90255     -19.44150
       2.91676     -19.42935
       2.93097     -19.41683
       2.94518     -19.40397
       2.95939     -19.39081
       2.97359     -19.37740
       2.98780     -19.36377
       3.00201     -19.34999
       3.01622     -19.33609
       3.03043     -19.32214
       3.04464     -19.30819
       3.05885     -19.29430
       3.07306     -19.28055
       3.08727     -19.26699
       3.10148     -19.25370
       3.11568     -19.24076
       3.12989     -19.22823
       3.14410     -19.21621
       3.15831     -19.20476
       3.17252     -19.19397
       3.18673     -19.18391
       3.20094     -19.17467
       3.21515     -19.16632
       3.22936     -19.15892
       3.24357     -19.15254
       3.25777     -19.14724
       3.27198     -19.14306
       3.28619     -19.14005
       3.30040     -19.13823
       3.31461     -19.13762
       3.31461     -19.13762
       3.33165     -19.13695
       3.34869     -19.13492
       3.36573     -19.13155
       3.38277     -19.12683
       3.39981     -19.12077
       3.41685     -19.11337
       3.43389     -19.10463
       3.45093     -19.09457
       3.46797     -19.08319
       3.48501     -19.07050
       3.50205     -19.05650
       3.51909     -19.04121
       3.53613     -19.02464
       3.55317     -19.00680
       3.57021     -18.98772
       3.58725     -18.96740
       3.60429     -18.94587
       3.62133     -18.92315
       3.63837     -18.89926
       3.65541     -18.87424
       3.67245     -18.84810
       3.68949     -18.82090
       3.70653     -18.79265
       3.72357     -18.76342
       3.74061     -18.73324
       3.75765     -18.70217
       3.77470     -18.67028
       3.79174     -18.63763
       3.80878     -18.60431
       3.82582     -18.57040
       3.84286     -18.53602
       3.85990     -18.50127
       3.87694     -18.46629
       3.89398     -18.43122
       3.91102     -18.39625
       3.92806     -18.36157
       3.94510     -18.32741
       3.96214     -18.29401
       3.97918     -18.26166
       3.99622     -18.23068
       4.01326     -18.20140
       4.03030     -18.17421
       4.04734     -18.14950
       4.06438     -18.12767
       4.08142     -18.10913
       4.09846     -18.09425
       4.11550     -18.08336
       4.13254     -18.07671
       4.14958     -18.07448
# Band    2
       4.14958     -16.27505
       4.13254     -16.27152
       4.11550     -16.26096
       4.09846     -16.24355
       4.08142     -16.21958
       4.06438     -16.18936
       4.04734     -16.17176
       4.03030     -16.18424
       4.01326     -16.19831
       3.99622     -16.21384
       3.97918     -16.23068
       3.96214     -16.24872
       3.94510     -16.26778
       3.92806     -16.28776
       3.91102     -16.30850
       3.89398     -16.32987
       3.87694     -16.35176
       3.85990     -16.37402
       3.84286     -16.39655
       3.82582     -16.41924
       3.80878     -16.44197
       3.79174     -16.46464
       3.77470     -16.48718
       3.75765     -16.50949
       3.74061     -16.53149
       3.72357     -16.55310
       3.70653     -16.57425
       3.68949     -16.59489
       3.67245     -16.61495
       3.65541     -16.63439
       3.63837     -16.65314
       3.62133     -16.67117
       3.60429     -16.68844
       3.58725     -16.70490
       3.57021     -16.72052
       3.55317     -16.73526
       3.53613     -16.74910
       3.51909     -16.76202
       3.50205     -16.77399
       3.48501     -16.78498
       3.46797     -16.79498
       3.45093     -16.80397
       3.43389     -16.81194
       3.41685     -16.81886
       3.39981     -16.82475
       3.38277     -16.82957
       3.36573     -16.83333
       3.34869     -16.83602
       3.33165     -16.83763
       3.31461     -16.83817
       3.31461     -16.83817
       3.30040     -16.83675
       3.28619     -16.83251
       3.27198     -16.82546
       3.25777     -16.81562
       3.24357     -16.80306
       3.22936     -16.78782
       3.21515     -16.76995
       3.20094     -16.74953
       3.18673     -16.72665
       3.17252     -16.70139
       3.15831     -16.67381
       3.14410     -16.64403
       3.12989     -16.61213
       3.11568     -16.57821
       3.10148     -16.54235
       3.08727     -16.50464
       3.07306     -16.46520
       3.05885     -16.42410
       3.04464     -16.38145
       3.03043     -16.33732
       3.01622     -16.29179
       3.00201     -16.24497
       2.98780     -16.19693
       2.97359     -16.14776
       2.95939     -16.09754
       2.94518     -16.04636
       2.93097     -15.99431
       2.91676     -15.94147
       2.90255     -15.88793
       2.88834     -15.83380
       2.87413     -15.77914
       2.85992     -15.72408
       2.84571     -15.66873
       2.83151     -15.61319
       2.81730     -15.55764
       2.80309     -15.50219
       2.78888     -15.44704
       2.77467     -15.39240
       2.76046     -15.33852
       2.74625     -15.28572
       2.73204     -15.23440
       2.71783     -15.18506
       2.70362     -15.13836
       2.68942     -15.09515
       2.67521     -15.05655
       2.66100     -15.02394
       2.64679     -14.99887
       2.63258     -14.98298
       2.61837     -14.97753
       2.61837     -14.97753
       2.59618     -14.98495
       2.57400     -15.00635
       2.55181     -15.03951
       2.52962     -15.08180
       2.50744     -15.13078
       2.48525     -15.18447
       2.46306     -15.24131
       2.44087     -15.30024
       2.41869     -15.36034
       2.39650     -15.42099
       2.37431     -15.48171
       2.35213     -15.54211
       2.32994     -15.60187
       2.30775     -15.66073
       2.28557     -15.71852
       2.26338     -15.77505
       2.24119     -15.83015
       2.21900     -15.88371
       2.19682     -15.93561
       2.17463     -15.98574
       2.15244     -16.03399
       2.13026     -16.08031
       2.10807     -16.12461
       2.08588     -16.16678
       2.06370     -16.20675
       2.04151     -16.24443
       2.01932     -16.27973
       1.99714     -16.31256
       1.97495     -16.34283
       1.95276     -16.37044
       1.93057     -16.39525
       1.90839     -16.41716
       1.88620     -16.43603
       1.86401     -16.45172
       1.84183     -16.46410
       1.81964     -16.47300
       1.79745     -16.47825
       1.77527     -16.47971
       1.75308     -16.47722
       1.73089     -16.47067
       1.70870     -16.45995
       1.68652     -16.44504
       1.66433     -16.42595
       1.64214     -16.40283
       1.61996     -16.37604
       1.59777     -16.34630
       1.57558     -16.31534
       1.55340     -16.28772
       1.53121     -16.27505
       1.53121     -16.27505
       1.51700     -16.29087
       1.50279     -16.32595
       1.48858     -16.36750
       1.47437     -16.41095
       1.46016     -16.45478
       1.44595     -16.49834
       1.43175     -16.54134
       1.41754     -16.58363
       1.40333     -16.62512
       1.38912     -16.66574
       1.37491     -16.70545
       1.36070     -16.74425
       1.34649     -16.78209
       1.33228     -16.81897
       1.31807     -16.85487
       1.30386     -16.88978
       1.28966     -16.92369
       1.27545     -16.95661
       1.26124     -16.98851
       1.24703     -17.01941
       1.23282     -17.04928
       1.21861     -17.07814
       1.20440     -17.10597
       1.19019     -17.13278
       1.17598     -17.15855
       1.16178     -17.18329
       1.14757     -17.20699
       1.13336     -17.22965
       1.11915     -17.25127
       1.10494     -17.27184
       1.09073     -17.29137
       1.07652     -17.30986
       1.06231     -17.32729
       1.04810     -17.34367
       1.03389     -17.35901
       1.01969     -17.37329
       1.00548     -17.38652
       0.99127     -17.39870
       0.97706     -17.40982
       0.96285     -17.41988
       0.94864     -17.42888
       0.93443     -17.43683
       0.92022     -17.44371
       0.90601     -17.44955
       0.89180     -17.45432
       0.87760     -17.45802
       0.86339     -17.46067
       0.84918     -17.46226
       0.83497     -17.46279
       0.83497     -17.46279
       0.81793     -17.45657
       0.80089     -17.43841
       0.78385     -17.40963
       0.76681     -17.37194
       0.74977     -17.32703
       0.73273     -17.27637
       0.71569     -17.22116
       0.69865     -17.16230
       0.68161     -17.10052
       0.66457     -17.03636
       0.64753     -16.97026
       0.63049     -16.90256
       0.61345     -16.83354
       0.59641     -16.76345
       0.57937     -16.69249
       0.56233     -16.62085
       0.54529     -16.54871
       0.52825     -16.47622
       0.51121     -16.40358
       0.49417     -16.33090
       0.47713     -16.25834
       0.46009     -16.18608
       0.44304     -16.11428
       0.42600     -16.04310
       0.40896     -15.97271
       0.39192     -15.90329
       0.37488     -15.83500
       0.35784     -15.76803
       0.34080     -15.70258
       0.32376     -15.63885
       0.30672     -15.57702
       0.28968     -15.51728
       0.27264     -15.45985
       0.25560     -15.40488
       0.23856     -15.35258
       0.22152     -15.30313
       0.20448     -15.25669
       0.18744     -15.21339
       0.17040     -15.17340
       0.15336     -15.13687
       0.13632     -15.10391
       0.11928     -15.07461
       0.10224     -15.04907
       0.08520     -15.02731
       0.06816     -15.00945
       0.05112     -14.99553
       0.03408     -14.98553
       0.01704     -14.97954
       0.00000     -14.97753
# Band    3
       0.00000     -14.30510
       0.01704     -14.30448
       0.03408     -14.30264
       0.05112     -14.29959
       0.06816     -14.29531
       0.08520     -14.28981
       0.10224     -14.28310
       0.11928     -14.27518
       0.13632     -14.26604
       0.15336     -14.25573
       0.17040     -14.24421
       0.18744     -14.23154
       0.20448     -14.21772
       0.22152     -14.20271
       0.23856     -14.18656
       0.25560     -14.16929
       0.27264     -14.15090
       0.28968     -14.13143
       0.30672     -14.11088
       0.32376     -14.08929
       0.34080     -14.06666
       0.35784     -14.04306
       0.37488     -14.01852
       0.39192     -13.99305
       0.40896     -13.96669
       0.42600     -13.93951
       0.44304     -13.91156
       0.46009     -13.88289
       0.47713     -13.85358
       0.49417     -13.82368
       0.51121     -13.79331
       0.52825     -13.76253
       0.54529     -13.73147
       0.56233     -13.70026
       0.57937     -13.66903
       0.59641     -13.63796
       0.61345     -13.60720
       0.63049     -13.57696
       0.64753     -13.54746
       0.66457     -13.51897
       0.68161     -13.49177
       0.69865     -13.46614
       0.71569     -13.44241
       0.73273     -13.42092
       0.74977     -13.40199
       0.76681     -13.38598
       0.78385     -13.37314
       0.80089     -13.36373
       0.81793     -13.35801
       0.83497     -13.35609
       0.83497     -13.35609
       0.84918     -13.36062
       0.86339     -13.37403
       0.87760     -13.39599
       0.89180     -13.42573
       0.90601     -13.46250
       0.92022     -13.50546
       0.93443     -13.55376
       0.94864     -13.60657
       0.96285     -13.66316
       0.97706     -13.72289
       0.99127     -13.78517
       1.00548     -13.84954
       1.01969     -13.91557
       1.03389     -13.98292
       1.04810     -14.05126
       1.06231     -14.12032
       1.07652     -14.18997
       1.09073     -14.25997
       1.10494     -14.33020
       1.11915     -14.40048
       1.13336     -14.47069
       1.14757     -14.54075
       1.16178     -14.61057
       1.17598     -14.68006
       1.19019     -14.74918
       1.20440     -14.81784
       1.21861     -14.88600
       1.23282     -14.95360
       1.24703     -15.02062
       1.26124     -15.08702
       1.27545     -15.15275
       1.28966     -15.21778
       1.30386     -15.28209
       1.31807     -15.34563
       1.33228     -15.40839
       1.34649     -15.47034
       1.36070     -15.53146
       1.37491     -15.59171
       1.38912     -15.65105
       1.40333     -15.70944
       1.41754     -15.76687
       1.43175     -15.82324
       1.44595     -15.87847
       1.46016     -15.93238
       1.47437     -15.98468
       1.48858     -16.03472
       1.50279     -16.08097
       1.51700     -16.11890
       1.53121     -16.13567
       1.53121     -16.13567
       1.55340     -16.11954
       1.57558     -16.08161
       1.59777     -16.03353
       1.61996     -15.98000
       1.64214     -15.92288
       1.66433     -15.86312
       1.68652     -15.80131
       1.70870     -15.73786
       1.73089     -15.67310
       1.75308     -15.60730
       1.77527     -15.54066
       1.79745     -15.47340
       1.81964     -15.40566
       1.84183     -15.33760
       1.86401     -15.26932
       1.88620     -15.20098
       1.90839     -15.13264
       1.93057     -15.06441
       1.95276     -14.99642
       1.97495     -14.92876
       1.99714     -14.86159
       2.01932     -14.79504
       2.04151     -14.72930
       2.06370     -14.66454
       2.08588     -14.60106
       2.10807     -14.53913
       2.13026     -14.47909
       2.15244     -14.42133
       2.17463     -14.36632
       2.19682     -14.31455
       2.21900     -14.26663
       2.24119     -14.22316
       2.26338     -14.18481
       2.28557     -14.15225
       2.30775     -14.12609
       2.32994     -14.10694
       2.35213     -14.09520
       2.37431     -14.09104
       2.39650     -14.09443
       2.41869     -14.10504
       2.44087     -14.12224
       2.46306     -14.14504
       2.48525     -14.17211
       2.50744     -14.20179
       2.52962     -14.23203
       2.55181     -14.26032
       2.57400     -14.28381
       2.59618     -14.29953
       2.61837     -14.30510
       2.61837     -14.30510
       2.63258     -14.30011
       2.64679     -14.28564
       2.66100     -14.26295
       2.67521     -14.23363
       2.68942     -14.19927
       2.70362     -14.16127
       2.71783     -14.12066
       2.73204     -14.07829
       2.74625     -14.03487
       2.76046     -13.99087
       2.77467     -13.94666
       2.78888     -13.90255
       2.80309     -13.85875
       2.81730     -13.81546
       2.83151     -13.77283
       2.84571     -13.73098
       2.85992     -13.68999
       2.87413     -13.65001
       2.88834     -13.61101
       2.90255     -13.57314
       2.91676     -13.53638
       2.93097     -13.50080
       2.94518     -13.46638
       2.95939     -13.43321
       2.97359     -13.40127
       2.98780     -13.37062
       3.00201     -13.34124
       3.01622     -13.31309
       3.03043     -13.28624
       3.04464     -13.26066
       3.05885     -13.23641
       3.07306     -13.21346
       3.08727     -13.19179
       3.10148     -13.17143
       3.11568     -13.15240
       3.12989     -13.13467
       3.14410     -13.11825
       3.15831     -13.10313
       3.17252     -13.08932
       3.18673     -13.07682
       3.20094     -13.06563
       3.21515     -13.05577
       3.22936     -13.04722
       3.24357     -13.03995
       3.25777     -13.03406
       3.27198     -13.02946
       3.28619     -13.02614
       3.30040     -13.02416
       3.31461     -13.02351
       3.31461     -13.02351
       3.33165     -13.02983
       3.34869     -13.04854
       3.36573     -13.07907
       3.38277     -13.12035
       3.39981     -13.17117
       3.41685     -13.23031
       3.43389     -13.29657
       3.45093     -13.36869
       3.46797     -13.44572
