# Kpath    Energy-Level (in eV)
# Band    1
       0.00000     -30.89239
       0.01711     -30.89236
       0.03422     -30.89221
       0.05133     -30.89197
       0.06844     -30.89164
       0.08555     -30.89122
       0.10266     -30.89071
       0.11978     -30.89011
       0.13689     -30.88942
       0.15400     -30.88866
       0.17111     -30.88780
       0.18822     -30.88688
       0.20533     -30.88587
       0.22244     -30.88481
       0.23955     -30.88367
       0.25666     -30.88245
       0.27377     -30.88120
       0.29088     -30.87990
       0.30799     -30.87858
       0.32511     -30.87720
       0.34222     -30.87578
       0.35933     -30.87434
       0.37644     -30.87287
       0.39355     -30.87140
       0.41066     -30.86991
       0.42777     -30.86841
       0.44488     -30.86692
       0.46199     -30.86544
       0.47910     -30.86397
       0.49621     -30.86252
       0.51332     -30.86111
       0.53043     -30.85972
       0.54755     -30.85837
       0.56466     -30.85706
       0.58177     -30.85580
       0.59888     -30.85460
       0.61599     -30.85346
       0.63310     -30.85238
       0.65021     -30.85137
       0.66732     -30.85047
       0.68443     -30.84961
       0.70154     -30.84882
       0.71865     -30.84812
       0.73576     -30.84751
       0.75287     -30.84699
       0.76999     -30.84656
       0.78710     -30.84622
       0.80421     -30.84597
       0.82132     -30.84583
       0.83843     -30.84579
       0.83843     -30.84579
       0.85267     -30.84578
       0.86691     -30.84575
       0.88115     -30.84572
       0.89539     -30.84565
       0.90964     -30.84557
       0.92388     -30.84548
       0.93812     -30.84537
       0.95236     -30.84524
       0.96660     -30.84510
       0.98084     -30.84494
       0.99508     -30.84477
       1.00932     -30.84458
       1.02357     -30.84438
       1.03781     -30.84417
       1.05205     -30.84394
       1.06629     -30.84372
       1.08053     -30.84348
       1.09477     -30.84323
       1.10901     -30.84297
       1.12325     -30.84272
       1.13750     -30.84245
       1.15174     -30.84220
       1.16598     -30.84192
       1.18022     -30.84165
       1.19446     -30.84137
       1.20870     -30.84104
       1.22294     -30.84077
       1.23718     -30.84050
       1.25143     -30.84023
       1.26567     -30.83996
       1.27991     -30.83972
       1.29415     -30.83947
       1.30839     -30.83924
       1.32263     -30.83900
       1.33687     -30.83878
       1.35111     -30.83858
       1.36536     -30.83838
       1.37960     -30.83819
       1.39384     -30.83800
       1.40808     -30.83784
       1.42232     -30.83770
       1.43656     -30.83757
       1.45080     -30.83746
       1.46504     -30.83736
       1.47929     -30.83728
       1.49353     -30.83722
       1.50777     -30.83717
       1.52201     -30.83712
       1.53625     -30.83711
       1.53625     -30.83711
       1.55851     -30.83717
       1.58077     -30.83736
       1.60304     -30.83763
       1.62530     -30.83802
       1.64756     -30.83851
       1.66982     -30.83910
       1.69208     -30.83983
       1.71435     -30.84063
       1.73661     -30.84152
       1.75887     -30.84252
       1.78113     -30.84360
       1.80339     -30.84476
       1.82566     -30.84600
       1.84792     -30.84733
       1.87018     -30.84872
       1.89244     -30.85018
       1.91470     -30.85169
       1.93696     -30.85329
       1.95923     -30.85494
       1.98149     -30.85660
       2.00375     -30.85829
       2.02601     -30.86001
       2.04827     -30.86176
       2.07054     -30.86351
       2.09280     -30.86528
       2.11506     -30.86705
       2.13732     -30.86882
       2.15958     -30.87057
       2.18185     -30.87228
       2.20411     -30.87398
       2.22637     -30.87563
       2.24863     -30.87725
       2.27089     -30.87880
       2.29316     -30.88031
       2.31542     -30.88175
       2.33768     -30.88312
       2.35994     -30.88442
       2.38220     -30.88564
       2.40446     -30.88677
       2.42673     -30.88781
       2.44899     -30.88875
       2.47125     -30.88959
       2.49351     -30.89033
       2.51577     -30.89095
       2.53804     -30.89148
       2.56030     -30.89188
       2.58256     -30.89217
       2.60482     -30.89234
       2.62708     -30.89239
       2.62708     -30.89239
       2.64133     -30.89239
       2.65557     -30.89236
       2.66981     -30.89230
       2.68405     -30.89223
       2.69829     -30.89215
       2.71253     -30.89202
       2.72677     -30.89188
       2.74101     -30.89171
       2.75526     -30.89153
       2.76950     -30.89134
       2.78374     -30.89113
       2.79798     -30.89090
       2.81222     -30.89066
       2.82646     -30.89040
       2.84070     -30.89013
       2.85494     -30.88984
       2.86919     -30.88955
       2.88343     -30.88923
       2.89767     -30.88892
       2.91191     -30.88860
       2.92615     -30.88828
       2.94039     -30.88795
       2.95463     -30.88761
       2.96887     -30.88728
       2.98312     -30.88694
       2.99736     -30.88661
       3.01160     -30.88626
       3.02584     -30.88593
       3.04008     -30.88561
       3.05432     -30.88529
       3.06856     -30.88498
       3.08280     -30.88468
       3.09705     -30.88439
       3.11129     -30.88410
       3.12553     -30.88383
       3.13977     -30.88360
       3.15401     -30.88334
       3.16825     -30.88311
       3.18249     -30.88290
       3.19673     -30.88268
       3.21098     -30.88251
       3.22522     -30.88234
       3.23946     -30.88220
       3.25370     -30.88208
       3.26794     -30.88200
       3.28218     -30.88194
       3.29642     -30.88189
       3.31066     -30.88188
       3.32491     -30.88186
       3.32491     -30.88186
       3.34202     -30.88181
       3.35913     -30.88167
       3.37624     -30.88145
       3.39335     -30.88114
       3.41046     -30.88073
       3.42757     -30.88025
       3.44468     -30.87966
       3.46179     -30.87901
       3.47890     -30.87828
       3.49601     -30.87747
       3.51312     -30.87658
       3.53023     -30.87561
       3.54735     -30.87457
       3.56446     -30.87351
       3.58157     -30.87237
       3.59868     -30.87118
       3.61579     -30.86994
       3.63290     -30.86865
       3.65001     -30.86733
       3.66712     -30.86597
       3.68423     -30.86459
       3.70134     -30.86318
       3.71845     -30.86177
       3.73556     -30.86033
       3.75268     -30.85890
       3.76979     -30.85748
       3.78690     -30.85606
       3.80401     -30.85465
       3.82112     -30.85327
       3.83823     -30.85189
       3.85534     -30.85057
       3.87245     -30.84927
       3.88956     -30.84802
       3.90667     -30.84681
       3.92378     -30.84566
       3.94089     -30.84456
       3.95800     -30.84353
       3.97512     -30.84252
       3.99223     -30.84158
       4.00934     -30.84074
       4.02645     -30.84000
       4.04356     -30.83933
       4.06067     -30.83875
       4.07778     -30.83825
       4.09489     -30.83784
       4.11200     -30.83752
       4.12911     -30.83730
       4.14622     -30.83716
       4.16333     -30.83711
# Band    2
       4.16333     -19.16916
       4.14622     -19.17157
       4.12911     -19.17839
       4.11200     -19.18947
       4.09489     -19.20474
       4.07778     -19.22376
       4.06067     -19.24618
       4.04356     -19.27155
       4.02645     -19.29924
       4.00934     -19.32912
