# Kpath    Energy-Level (in eV)
# Band    1
       3.92373     -16.34319
       3.90662     -16.36500
       3.88951     -16.38732
       3.87240     -16.41002
       3.85529     -16.43297
       3.83818     -16.45608
       3.82107     -16.47923
       3.80396     -16.50233
       3.78685     -16.52527
       3.76974     -16.54797
       3.75263     -16.57034
       3.73551     -16.59232
       3.71840     -16.61384
       3.70129     -16.63482
       3.68418     -16.65522
       3.66707     -16.67496
       3.64996     -16.69402
       3.63285     -16.71234
       3.61574     -16.72987
       3.59863     -16.74658
       3.58152     -16.76245
       3.56441     -16.77742
       3.54730     -16.79148
       3.53019     -16.80459
       3.51307     -16.81673
       3.49596     -16.82789
       3.47885     -16.83803
       3.46174     -16.84716
       3.44463     -16.85524
       3.42752     -16.86227
       3.41041     -16.86824
       3.39330     -16.87313
       3.37619     -16.87694
       3.35908     -16.87966
       3.34197     -16.88130
       3.32486     -16.88185
       3.32486     -16.88185
       3.31061     -16.88043
       3.29637     -16.87618
       3.28213     -16.86911
       3.26789     -16.85926
       3.25365     -16.84666
       3.23941     -16.83138
       3.22517     -16.81347
       3.21093     -16.79301
       3.19669     -16.77007
       3.18245     -16.74474
       3.16821     -16.71712
       3.15397     -16.68727
       3.13972     -16.65529
       3.12548     -16.62128
       3.11124     -16.58533
       3.09700     -16.54755
       3.08276     -16.50801
       3.06852     -16.46682
       3.05428     -16.42406
       3.04004     -16.37982
       3.02580     -16.33420
       3.01156     -16.28727
       2.99732     -16.23911
       2.98307     -16.18983
       2.96883     -16.13952
       2.95459     -16.08824
       2.94035     -16.03609
       2.92611     -15.98316
       2.91187     -15.92955
       2.89763     -15.87533
       2.88339     -15.82061
       2.86915     -15.76551
       2.85491     -15.71011
       2.84067     -15.65456
       2.82643     -15.59899
       2.81218     -15.54357
       2.79794     -15.48848
       2.78370     -15.43392
       2.76946     -15.38016
       2.75522     -15.32752
       2.74098     -15.27640
       2.72674     -15.22735
       2.71250     -15.18099
       2.69826     -15.13820
       2.68402     -15.10005
       2.66978     -15.06788
       2.65553     -15.04324
       2.64129     -15.02767
       2.62705     -15.02232
       2.62705     -15.02232
       2.60479     -15.02958
       2.58253     -15.05059
       2.56027     -15.08325
       2.53801     -15.12500
       2.51574     -15.17345
       2.49348     -15.22668
       2.47122     -15.28313
       2.44896     -15.34170
       2.42670     -15.40150
       2.40444     -15.46189
       2.38217     -15.52239
       2.35991     -15.58256
       2.33765     -15.64213
       2.31539     -15.70082
       2.29313     -15.75843
       2.27087     -15.81478
       2.24860     -15.86971
       2.22634     -15.92309
       2.20408     -15.97481
       2.18182     -16.02475
       2.15956     -16.07282
       2.13730     -16.11895
       2.11503     -16.16302
       2.09277     -16.20497
       2.07051     -16.24470
       2.04825     -16.28212
       2.02599     -16.31716
       2.00373     -16.34971
       1.98146     -16.37967
       1.95920     -16.40694
       1.93694     -16.43141
       1.91468     -16.45295
       1.89242     -16.47143
       1.87016     -16.48671
       1.84789     -16.49865
       1.82563     -16.50708
       1.80337     -16.51186
       1.78111     -16.51281
       1.75885     -16.50981
       1.73659     -16.50274
       1.71432     -16.49149
       1.69206     -16.47602
       1.66980     -16.45639
       1.64754     -16.43271
       1.62528     -16.40533
       1.60302     -16.37496
       1.58075     -16.34325
       1.55849     -16.31474
       1.53623     -16.30148
       1.53623     -16.30148
       1.52199     -16.31786
       1.50775     -16.35368
       1.49351     -16.39574
       1.47927     -16.43957
       1.46503     -16.48370
       1.45079     -16.52753
       1.43655     -16.57077
       1.42230     -16.61327
       1.40806     -16.65495
       1.39382     -16.69576
       1.37958     -16.73565
       1.36534     -16.77461
       1.35110     -16.81261
       1.33686     -16.84964
       1.32262     -16.88568
       1.30838     -16.92073
       1.29414     -16.95478
       1.27990     -16.98782
       1.26565     -17.01986
       1.25141     -17.05087
       1.23717     -17.08086
       1.22293     -17.10983
       1.20869     -17.13777
       1.19445     -17.16468
       1.18021     -17.19054
       1.16597     -17.21537
       1.15173     -17.23916
       1.13749     -17.26191
       1.12325     -17.28360
       1.10901     -17.30426
       1.09476     -17.32387
       1.08052     -17.34241
       1.06628     -17.35992
       1.05204     -17.37637
       1.03780     -17.39176
       1.02356     -17.40609
       1.00932     -17.41937
       0.99508     -17.43159
       0.98084     -17.44275
       0.96660     -17.45285
       0.95236     -17.46189
       0.93811     -17.46986
       0.92387     -17.47678
       0.90963     -17.48263
       0.89539     -17.48742
       0.88115     -17.49114
       0.86691     -17.49380
       0.85267     -17.49540
       0.83843     -17.49593
       0.83843     -17.49593
       0.82132     -17.48982
       0.80421     -17.47197
       0.78710     -17.44362
       0.76999     -17.40641
       0.75287     -17.36194
       0.73576     -17.31169
       0.71865     -17.25680
       0.70154     -17.19820
       0.68443     -17.13662
       0.66732     -17.07260
       0.65021     -17.00659
       0.63310     -16.93895
       0.61599     -16.86997
       0.59888     -16.79989
       0.58177     -16.72894
       0.56466     -16.65730
       0.54755     -16.58516
       0.53043     -16.51268
       0.51332     -16.44002
       0.49621     -16.36736
       0.47910     -16.29487
       0.46199     -16.22268
       0.44488     -16.15097
       0.42777     -16.07990
       0.41066     -16.00965
       0.39355     -15.94038
       0.37644     -15.87230
       0.35933     -15.80559
       0.34222     -15.74042
       0.32511     -15.67699
       0.30799     -15.61548
       0.29088     -15.55611
       0.27377     -15.49906
       0.25666     -15.44452
       0.23955     -15.39266
       0.22244     -15.34366
       0.20533     -15.29769
       0.18822     -15.25488
       0.17111     -15.21539
       0.15400     -15.17933
       0.13689     -15.14679
       0.11978     -15.11788
       0.10266     -15.09271
       0.08555     -15.07128
       0.06844     -15.05370
       0.05133     -15.03999
       0.03422     -15.03017
       0.01711     -15.02427
       0.00000     -15.02232
# Band    3
       0.00000     -14.33230
       0.01711     -14.33168
       0.03422     -14.32983
       0.05133     -14.32673
       0.06844     -14.32241
       0.08555     -14.31685
       0.10266     -14.31009
       0.11978     -14.30210
       0.13689     -14.29289
       0.15400     -14.28249
       0.17111     -14.27088
       0.18822     -14.25808
       0.20533     -14.24408
       0.22244     -14.22893
       0.23955     -14.21264
       0.25666     -14.19522
       0.27377     -14.17666
       0.29088     -14.15699
       0.30799     -14.13624
       0.32511     -14.11446
       0.34222     -14.09162
       0.35933     -14.06778
       0.37644     -14.04297
       0.39355     -14.01723
       0.41066     -13.99061
