# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -19.30123     -19.30123
       0.00977     -19.30166     -19.30166
       0.01953     -19.30294     -19.30294
       0.02930     -19.30508     -19.30508
       0.03906     -19.30806     -19.30806
       0.04883     -19.31188     -19.31188
       0.05859     -19.31652     -19.31652
       0.06836     -19.32198     -19.32198
       0.07812     -19.32822     -19.32822
       0.08789     -19.33523     -19.33523
       0.09765     -19.34298     -19.34298
       0.10742     -19.35147     -19.35147
       0.11718     -19.36065     -19.36065
       0.12695     -19.37051     -19.37051
       0.13671     -19.38102     -19.38102
       0.14648     -19.39214     -19.39214
       0.15624     -19.40385     -19.40385
       0.16601     -19.41613     -19.41613
       0.17577     -19.42893     -19.42893
       0.18554     -19.44223     -19.44223
       0.19530     -19.45599     -19.45599
       0.20507     -19.47018     -19.47018
       0.21483     -19.48478     -19.48478
       0.22460     -19.49976     -19.49976
       0.23436     -19.51508     -19.51508
       0.24413     -19.53072     -19.53072
       0.25389     -19.54664     -19.54664
       0.26366     -19.56283     -19.56283
       0.27342     -19.57924     -19.57924
       0.28319     -19.59586     -19.59586
       0.29295     -19.61266     -19.61266
       0.30272     -19.62961     -19.62961
       0.31248     -19.64669     -19.64669
       0.32225     -19.66388     -19.66388
       0.33201     -19.68115     -19.68115
       0.34178     -19.69848     -19.69848
       0.35154     -19.71585     -19.71585
       0.36131     -19.73324     -19.73324
       0.37107     -19.75063     -19.75063
       0.38084     -19.76801     -19.76801
       0.39060     -19.78535     -19.78535
       0.40037     -19.80263     -19.80263
       0.41013     -19.81985     -19.81985
       0.41990     -19.83698     -19.83698
       0.42966     -19.85401     -19.85401
       0.43943     -19.87092     -19.87092
       0.44919     -19.88771     -19.88771
       0.45896     -19.90435     -19.90435
       0.46873     -19.92084     -19.92084
       0.47849     -19.93716     -19.93716
       0.48826     -19.95329     -19.95329
       0.49802     -19.96924     -19.96924
       0.50779     -19.98499     -19.98499
       0.51755     -20.00054     -20.00054
       0.52732     -20.01586     -20.01586
       0.53708     -20.03095     -20.03095
       0.54685     -20.04580     -20.04580
       0.55661     -20.06041     -20.06041
       0.56638     -20.07476     -20.07476
       0.57614     -20.08885     -20.08885
       0.58591     -20.10268     -20.10268
       0.59567     -20.11622     -20.11622
       0.60544     -20.12947     -20.12947
       0.61520     -20.14245     -20.14245
       0.62497     -20.15512     -20.15512
       0.63473     -20.16750     -20.16750
       0.64450     -20.17957     -20.17957
       0.65426     -20.19132     -20.19132
