# Kpath             Spin-Up       Spin-Down
# Band    1
       0.00000     -17.80953     -17.80953
       0.00909     -17.80993     -17.80993
       0.01819     -17.81116     -17.81116
       0.02728     -17.81318     -17.81318
       0.03638     -17.81600     -17.81600
       0.04547     -17.81961     -17.81961
       0.05457     -17.82400     -17.82400
       0.06366     -17.82914     -17.82914
       0.07276     -17.83503     -17.83503
       0.08185     -17.84165     -17.84165
       0.09095     -17.84897     -17.84897
       0.10004     -17.85696     -17.85696
       0.10914     -17.86562     -17.86562
       0.11823     -17.87490     -17.87490
       0.12733     -17.88478     -17.88478
       0.13642     -17.89523     -17.89523
       0.14552     -17.90623     -17.90623
       0.15461     -17.91774     -17.91774
       0.16371     -17.92974     -17.92974
       0.17280     -17.94220     -17.94220
       0.18190     -17.95508     -17.95508
       0.19099     -17.96836     -17.96836
       0.20009     -17.98200     -17.98200
       0.20918     -17.99599     -17.99599
       0.21828     -18.01028     -18.01028
       0.22737     -18.02486     -18.02486
       0.23647     -18.03970     -18.03970
       0.24556     -18.05477     -18.05477
       0.25466     -18.07004     -18.07004
       0.26375     -18.08548     -18.08548
       0.27285     -18.10108     -18.10108
       0.28194     -18.11682     -18.11681
       0.29104     -18.13266     -18.13266
       0.30013     -18.14858     -18.14858
       0.30923     -18.16457     -18.16457
       0.31832     -18.18061     -18.18061
       0.32742     -18.19668     -18.19668
       0.33651     -18.21275     -18.21275
       0.34561     -18.22881     -18.22881
       0.35470     -18.24485     -18.24485
       0.36380     -18.26084     -18.26084
       0.37289     -18.27676     -18.27676
       0.38199     -18.29263     -18.29263
       0.39108     -18.30841     -18.30841
       0.40018     -18.32408     -18.32408
       0.40927     -18.33964     -18.33964
       0.41837     -18.35507     -18.35507
       0.42746     -18.37036     -18.37036
       0.43656     -18.38550     -18.38550
       0.44565     -18.40049     -18.40049
       0.45475     -18.41530     -18.41530
       0.46384     -18.42993     -18.42993
       0.47294     -18.44437     -18.44437
       0.48203     -18.45862     -18.45862
       0.49113     -18.47265     -18.47265
       0.50022     -18.48648     -18.48648
       0.50932     -18.50008     -18.50008
       0.51841     -18.51344     -18.51344
       0.52751     -18.52657     -18.52657
       0.53660     -18.53946     -18.53946
       0.54570     -18.55210     -18.55210
       0.55479     -18.56448     -18.56448
       0.56389     -18.57660     -18.57660
       0.57298     -18.58845     -18.58845
       0.58208     -18.60003     -18.60003
       0.59117     -18.61133     -18.61133
       0.60027     -18.62234     -18.62234
       0.60936     -18.63307     -18.63307
       0.61846     -18.64351     -18.64351
       0.62755     -18.65365     -18.65365
       0.63665     -18.66350     -18.66350
       0.64574     -18.67304     -18.67304
       0.65484     -18.68228     -18.68228
       0.66393     -18.69120     -18.69120
       0.67303     -18.69982     -18.69982
       0.68212     -18.70811     -18.70811
       0.69122     -18.71609     -18.71609
       0.70031     -18.72375     -18.72375
       0.70941     -18.73108     -18.73108
       0.71850     -18.73809     -18.73809
       0.72760     -18.74476     -18.74476
       0.73669     -18.75110     -18.75110
       0.74579     -18.75712     -18.75712
       0.75488     -18.76280     -18.76280
       0.76398     -18.76815     -18.76815
       0.77307     -18.77315     -18.77315
       0.78217     -18.77782     -18.77782
       0.79126     -18.78215     -18.78215
       0.80036     -18.78614     -18.78614
       0.80945     -18.78978     -18.78978
       0.81855     -18.79308     -18.79308
       0.82764     -18.79603     -18.79603
       0.83674     -18.79864     -18.79864
       0.84583     -18.80091     -18.80091
       0.85493     -18.80282     -18.80282
       0.86402     -18.80439     -18.80439
       0.87312     -18.80561     -18.80561
       0.88221     -18.80648     -18.80648
       0.89131     -18.80700     -18.80700
       0.90040     -18.80718     -18.80718
       0.90040     -18.80718     -18.80718
       0.91326     -18.80683     -18.80683
       0.92612     -18.80578     -18.80578
       0.93899     -18.80404     -18.80404
       0.95185     -18.80160     -18.80160
       0.96471     -18.79846     -18.79846
       0.97757     -18.79463     -18.79463
       0.99044     -18.79011     -18.79011
       1.00330     -18.78489     -18.78489
       1.01616     -18.77898     -18.77898
       1.02902     -18.77238     -18.77238
       1.04188     -18.76509     -18.76509
       1.05475     -18.75712     -18.75712
       1.06761     -18.74846     -18.74846
       1.08047     -18.73913     -18.73913
       1.09333     -18.72911     -18.72911
       1.10620     -18.71842     -18.71842
       1.11906     -18.70705     -18.70705
       1.13192     -18.69501     -18.69501
       1.14478     -18.68231     -18.68231
       1.15764     -18.66895     -18.66895
       1.17051     -18.65493     -18.65493
       1.18337     -18.64026     -18.64026
       1.19623     -18.62493     -18.62493
       1.20909     -18.60896     -18.60896
       1.22196     -18.59235     -18.59235
       1.23482     -18.57511     -18.57511
       1.24768     -18.55723     -18.55723
       1.26054     -18.53873     -18.53873
       1.27340     -18.51962     -18.51962
       1.28627     -18.49990     -18.49990
